feature,importance_sum,importance_mean,freq_top20,weighted_score,dataset,selected
% DN RO+ CCR6- INFg- TNFa+ d1,0.2682907281247411,0.022357560677061756,10.0,0.6433330687059495,immune,True
CD3+ gdTCR+ CD3hi,0.16134920240095843,0.013445766866746535,10.0,0.3868984897070457,immune,True
Total gd Cells (gdTCR CD3hi + CD3lo),0.1228431013697628,0.0102369251141469,10.0,0.2945648920704453,immune,True
total % DN d0,0.1270491080258616,0.010587425668821801,9.0,0.29254138221853915,immune,True
% CD4+ RO+ CCR6+ INFg- IL-17+ d1,0.1247931459945991,0.01039942883288326,9.0,0.2873468376749935,immune,True
% CD4+ RO+ CCR6- IL-17+ INFg+ d6,0.115127827644319,0.009593985637026584,11.0,0.28608190448901505,immune,True
% CD4+ RO+ CCR6- total IL-17+ d6,0.1119449847245921,0.009328748727049342,10.0,0.26843234968458524,immune,True
% CD4+ RO+ CCR6+ total IL-17+ d1,0.11049824685093809,0.009208187237578174,10.0,0.2649632237763719,immune,True
% DN RO+ CCR6- total INFg+ d1,0.10772008889989519,0.008976674074991265,9.0,0.24803467091689207,immune,True
total % CD4+ d0,0.10750761998238881,0.008958968331865734,9.0,0.24754544315471727,immune,True
% CD4+ RO+ CD161+ IL-17+ INFg- d6,0.10720270149640179,0.008933558458033482,9.0,0.24684334239430528,immune,True
% CD4+ RO+ CCR6- IL-17+ INFg- d6,0.10133902961367251,0.00844491913447271,9.0,0.2333417389269245,immune,True
% DN RO+ CCR6- INFg+ TNFa+ d1,0.1046062977905532,0.0087171914825461,8.0,0.22984352844955497,immune,True
% CD4+ CCR7+ RO- CD31+ CXCR3- d0,0.099613494265026,0.0083011245220855,9.0,0.22936854695569675,immune,True
% CD8+ IL-17+ IL-22+ d6,0.1096932479910084,0.009141103999250699,6.0,0.21345320454854458,immune,True
% CD8+ INFg+ IL4+ d1,0.09029797271296809,0.007524831059414008,9.0,0.20791876589646346,immune,False
% Dcs CD1c+ d0,0.0968129864691555,0.008067748872429625,7.0,0.2013169458380498,immune,False
% CD4+ N Treg (FOXP3+ HELIOS+) d1,0.08138289022276231,0.006781907518563526,9.0,0.1873910298517034,immune,False
% CD4+ N FOXP3+ d1,0.0840912065729598,0.00700760054774665,8.0,0.18476726581996433,immune,False
DN % RO- CD27+ d0,0.0790021040246433,0.006583508668720275,9.0,0.18190906704230858,immune,False
total % CD8+ d0,0.07824146229755861,0.006520121858129884,9.0,0.18015762474041414,immune,False
% CD4+ M CD25+ CD27- d0,0.08415235439425259,0.007012696199521049,7.0,0.1749899015575725,immune,False
CD4:CD8 d0,0.08347532284038468,0.00695627690336539,7.0,0.17358205401943153,immune,False
% viable CD3- CCR6- GzA+ INFg+ d1,0.08090478631453699,0.006742065526211416,7.0,0.16823677358317846,immune,False
% CD8+ MAIT INFg+ GzA+ d1,0.0756418336189342,0.006303486134911183,8.0,0.16620209590229934,immune,False
% CD4+ M CD25- CD27+ d0,0.07346454512452588,0.0061220454270438235,8.0,0.161418104110434,immune,False
NK Cells (% CD3- 2B4+),0.07584593506436631,0.006320494588697192,7.0,0.1577171881403946,immune,False
% CD4+ RO+ CCR6+ IL-22+ IL-17+ d1,0.0753924560894499,0.006282704674120825,7.0,0.15677420512167503,immune,False
% CD4+ RO+ CCR6- INFg+ TNFa- d1,0.0746674464741405,0.0062222872061783755,7.0,0.15526659000948334,immune,False
% CD8+ RO+ Va7.2- total TNFa+ d6,0.078769837180537,0.006564153098378083,6.0,0.1532790256090415,immune,False
% CD4+ M Treg (FOXP3+ HELIOS+) d1,0.069203130165195,0.00576692751376625,8.0,0.15205481842756396,immune,False
% CD4+ RO+ INFg+ TNFa- d1,0.06360996833476651,0.0053008306945638755,8.0,0.13976538578872766,immune,False
% CD8+ MAIT total INFg+ d1,0.0658360596310786,0.005486338302589883,7.0,0.13690223733737567,immune,False
% CD4+ RO+ INFg- IL-17+ d1,0.0672977685756989,0.005608147381308242,6.0,0.13095541088022822,immune,False
% CD14+ d0,0.07091747687467401,0.0059097897395561675,5.0,0.12706706072395876,immune,False
DN % RO+ CD27- d0,0.0699276717947515,0.005827305982895958,5.0,0.12529356809931758,immune,False
% CD19+ CD3- CD27+ IgG+ d0,0.0590961699084104,0.004924680825700867,6.0,0.114995836795073,immune,False
% CD4+ RO+ CD27- (TEM) d0,0.06117529415479721,0.005097941179566434,5.0,0.10961141258466958,immune,False
% CD4+ RO- CD27- (TEMRA) d0,0.0560077191011301,0.0046673099250941754,6.0,0.10898598902432818,immune,False
% CD4+ M CXCR5+ CCR7- d0,0.055977064765267405,0.004664755397105617,6.0,0.10892633844106042,immune,False
%DN CD161+ Va7.2- d0,0.0556701998092727,0.0046391833174393915,6.0,0.10832920680880091,immune,False
% CD8+ RO+ CCR6- IL4- GMCSF+ d1,0.0556384817945119,0.004636540149542658,6.0,0.10826748640196998,immune,False
%CD8+ CD161+ Va7.2- d6,0.06041261675719391,0.005034384729766159,5.0,0.10824487813554766,immune,False
% CD8+ RO+ CCR6- total INFg+ d1,0.055402880745707095,0.004616906728808924,6.0,0.10780902792997264,immune,False
% viable CD3- CCR6- CD161+ INFg- d1,0.0553081608867586,0.004609013407229883,6.0,0.10762471159512767,immune,False
% DN RO+ CCR6+ d1,0.059832787299750695,0.004986065608312558,5.0,0.10720596321463641,immune,False
% CD4+ RO+ CD161+ total IL-17+ d6,0.0544314942783688,0.004535957856530733,6.0,0.10591879714452405,immune,False
% CD8+ RO+ CCR6- INFg+ TNFa+ d1,0.0541636507081538,0.004513637559012817,6.0,0.10539759762288348,immune,False
DN % RO- CD27- d0,0.0650573853748001,0.005421448781233342,4.0,0.10470582250603905,immune,False
% viable CD3- CCR6- d1,0.058426514832898103,0.004868876236074842,5.0,0.10468626120583858,immune,False
