iter	RMSE
0	0.3616906689
1	0.3590614558
2	0.3565655754
3	0.3537263978
4	0.3512767565
5	0.349107496
6	0.3462024535
7	0.3435891206
8	0.3405433835
9	0.3373679476
10	0.3351453202
11	0.3331598217
12	0.3307847204
13	0.328875714
14	0.3264469315
15	0.3243029135
16	0.3223865682
17	0.3208600235
18	0.3186806734
19	0.3171282453
20	0.3150687201
21	0.3133785259
22	0.3105990977
23	0.3080609545
24	0.3055396785
25	0.3033280504
26	0.3008139798
27	0.2989495783
28	0.2968477995
29	0.2950309467
30	0.29351372
31	0.2918268703
32	0.2896773586
33	0.2875189781
34	0.2851418897
35	0.2834033039
36	0.2822715079
37	0.2799950488
38	0.2779289085
39	0.2761917824
40	0.275031484
41	0.2733979449
42	0.2718142046
43	0.2701421947
44	0.2690140551
45	0.2673013901
46	0.2658112766
47	0.2639779517
48	0.2623875729
49	0.2605552685
50	0.2587326762
51	0.2575521272
52	0.2555498901
53	0.2536013679
54	0.2514038275
55	0.2500260687
56	0.2482436243
