iter	Passed	Remaining
0	128	256336
1	221	221382
2	328	218855
3	407	203330
4	526	210060
5	676	224675
6	803	228780
7	891	221861
8	969	214474
9	1059	210938
10	1157	209246
11	1263	209296
12	1351	206578
13	1436	203738
14	1505	199221
15	1574	195243
16	1647	192210
17	1709	188260
18	1765	184049
19	1833	181561
20	1917	180686
21	2016	181266
22	2100	180576
23	2179	179482
24	2253	178006
25	2322	176333
26	2395	175063
27	2472	174155
28	2578	175253
29	2678	175856
30	2748	174567
31	2816	173238
32	2902	173014
33	2972	171908
34	3048	171142
35	3117	170069
36	3192	169389
37	3254	168029
38	3320	166979
39	3386	165961
40	3464	165554
41	3734	174099
42	3886	176883
43	3987	177264
44	4096	177950
45	4279	181766
46	4433	184223
47	4589	186645
48	4717	187848
49	4900	191127
50	5193	198485
51	5433	203550
52	5593	205486
53	5794	208828
54	5991	211896
55	6244	216779
56	6507	221825
