fold,mse,accuracy,precision,recall,f1,auc,auprc
1,0.4064015008640414,0.7231818181818181,0.72088235159318,0.9496551724137932,0.8190219406164614,0.8280919540229885,0.9148749939093094
2,0.3760765869554394,0.775,0.7489729431114085,0.9955172413793103,0.8542602977476446,0.9150344827586206,0.9530949499168331
3,0.4440882859038166,0.7358139534883721,0.7330674101298769,0.96,0.8307263179208413,0.7899014778325124,0.8851143922084275
4,0.44472114786522227,0.7860465116279068,0.7686328905000047,0.9806896551724138,0.8612041272737737,0.8598275862068965,0.9183210940082409
5,0.3576452750460946,0.7611627906976741,0.7418502300953027,0.992758620689655,0.8488726698198142,0.8646551724137932,0.9282105291960887
6,0.37477162474580394,0.7802325581395345,0.7783208652104588,0.9462068965517241,0.8534351540473831,0.8560098522167487,0.9260173482347156
7,0.39419276448750684,0.7560465116279069,0.7524815760191147,0.9534482758620689,0.8406991563662838,0.842192118226601,0.923214992800174
8,0.42729849560529315,0.7295348837209303,0.7330022596170145,0.9458620689655173,0.825281929327232,0.8268472906403943,0.9186139874083773
9,0.3731565750881011,0.7416279069767442,0.7326713510165852,0.9748275862068967,0.8361098227283036,0.8137438423645318,0.900203581503308
10,0.4414847638022229,0.7320930232558139,0.7231642990426311,0.9789655172413795,0.8314781181050174,0.7727093596059115,0.8767038329076517
