dataset,feature
immune,% DN RO+ CCR6- INFg- TNFa+ d1
immune,CD3+ gdTCR+ CD3hi
immune,total % DN d0
immune,% CD4+ RO+ CCR6+ INFg- IL-17+ d1
immune,Total gd Cells (gdTCR CD3hi + CD3lo)
immune,% CD4+ RO+ CCR6- IL-17+ INFg+ d6
immune,% CD4+ RO+ CCR6- total IL-17+ d6
immune,% CD4+ RO+ CCR6+ total IL-17+ d1
immune,% CD8+ IL-17+ IL-22+ d6
immune,% DN RO+ CCR6- total INFg+ d1
immune,total % CD4+ d0
immune,% CD4+ RO+ CD161+ IL-17+ INFg- d6
immune,% DN RO+ CCR6- INFg+ TNFa+ d1
immune,% CD4+ RO+ CCR6- IL-17+ INFg- d6
immune,% CD4+ CCR7+ RO- CD31+ CXCR3- d0
immune,% Dcs CD1c+ d0
immune,% CD8+ INFg+ IL4+ d1
immune,% CD4+ M CD25+ CD27- d0
immune,% CD4+ N FOXP3+ d1
immune,CD4:CD8 d0
immune,% CD4+ N Treg (FOXP3+ HELIOS+) d1
immune,% viable CD3- CCR6- GzA+ INFg+ d1
immune,DN % RO- CD27+ d0
immune,% CD8+ RO+ Va7.2- total TNFa+ d6
immune,total % CD8+ d0
immune,NK Cells (% CD3- 2B4+)
immune,% CD8+ MAIT INFg+ GzA+ d1
immune,% CD4+ RO+ CCR6+ IL-22+ IL-17+ d1
immune,% CD4+ RO+ CCR6- INFg+ TNFa- d1
immune,% CD4+ M CD25- CD27+ d0
immune,% CD14+ d0
immune,DN % RO+ CD27- d0
immune,% CD4+ M Treg (FOXP3+ HELIOS+) d1
immune,% CD4+ RO+ INFg- IL-17+ d1
immune,% CD8+ MAIT total INFg+ d1
immune,DN % RO- CD27- d0
immune,% CD4+ RO+ INFg+ TNFa- d1
immune,% CD4+ RO+ CD27- (TEM) d0
immune,%CD8+ CD161+ Va7.2- d6
immune,% DN RO+ CCR6+ d1
immune,% CD19+ CD3- CD27+ IgG+ d0
immune,% viable CD3- CCR6- d1
immune,% CD8+ RO+ CCR6+ d1
immune,% CD4+ RO- CD27- (TEMRA) d0
immune,% CD4+ M CXCR5+ CCR7- d0
immune,%DN CD161+ Va7.2- d0
immune,% CD8+ RO+ CCR6- IL4- GMCSF+ d1
immune,% CD8+ MAIT total TNFa+ d6
immune,% CD8+ RO+ CCR6- total INFg+ d1
immune,% viable CD3- CCR6- CD161+ INFg- d1
specie,Clostridium_sp_AM49_4BH
specie,Dysosmobacter_welbionis
specie,Alistipes_communis
specie,Coprococcus_eutactus
specie,Ruminococcus_bicirculans
specie,Alistipes_finegoldii
specie,Faecalibacterium_prausnitzii
specie,Dialister_invisus
specie,Ruminococcus_gnavus
specie,Blautia_wexlerae
specie,Odoribacter_splanchnicus
specie,Roseburia_inulinivorans
specie,Bacteroides_ovatus
specie,Bilophila_wadsworthia
specie,GGB9615_SGB15053
specie,GGB9635_SGB15106
specie,Roseburia_faecis
specie,Blautia_faecis
specie,Streptococcus_thermophilus
specie,GGB9602_SGB15031
specie,Clostridiales_bacterium
specie,Clostridium_fessum
specie,Clostridium_sp_AF36_4
specie,Roseburia_sp_AF02_12
specie,Ruthenibacterium_lactatiformans
specie,Clostridium_sp_AF15_49
specie,Bifidobacterium_longum
specie,Candidatus_Cibiobacter_qucibialis
specie,Lachnospira_sp_NSJ_43
specie,Flavonifractor_plautii
specie,Coprococcus_comes
specie,Escherichia_coli
kegg,K17398
kegg,K21417
kegg,K21023
kegg,K19092
kegg,K22424
kegg,K01910
kegg,K01607
kegg,K01821
kegg,K21948
kegg,K18119
kegg,K02744
kegg,K10241
kegg,K08722
kegg,K02510
kegg,K09469
kegg,K18344
kegg,K16951
kegg,K18866
kegg,K11733
kegg,K01040
kegg,K22405
kegg,K17204
kegg,K01281
kegg,K01198
kegg,K02517
kegg,K23547
kegg,K21578
kegg,K00567
kegg,K18889
kegg,K18427
metabolome,vanillylmandelate (VMA)
metabolome,X-11795
metabolome,catechol sulfate
metabolome,mannitol/sorbitol
metabolome,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
metabolome,glycodeoxycholate 3-sulfate
metabolome,deoxycarnitine
metabolome,N4-acetylcytidine
metabolome,glycochenodeoxycholate glucuronide (1)
metabolome,tryptophan betaine
metabolome,glucuronate
metabolome,imidazole lactate
metabolome,maleate
metabolome,arachidonoylcarnitine (C20:4)
metabolome,homostachydrine*
metabolome,erythritol
metabolome,androsterone glucuronide
metabolome,N-acetyl-aspartyl-glutamate (NAAG)
metabolome,N-palmitoyl-sphingosine (d18:1/16:0)
metabolome,3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**
metabolome,oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
metabolome,hippurate
metabolome,choline phosphate
metabolome,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
metabolome,"bilirubin (E,Z or Z,E)*"
metabolome,pseudouridine
metabolome,gulonate*
metabolome,dihomo-linolenoylcarnitine (C20:3n3 or 6)*
metabolome,"N,N-dimethylalanine"
metabolome,2-aminoheptanoate
metabolome,guaiacol sulfate
metabolome,alpha-tocopherol
metabolome,4-allylphenol sulfate
metabolome,pantothenate
metabolome,salicylate
metabolome,decadienedioic acid (C10:2-DC)**
metabolome,undecenoylcarnitine (C11:1)
metabolome,3-hydroxydecanoylcarnitine
metabolome,2-ketocaprylate
metabolome,palmitoyl dihydrosphingomyelin (d18:0/16:0)*
metabolome,10-undecenoate (11:1n1)
metabolome,X-23644
