fold,mse,accuracy,precision,recall,f1,auc,auprc
1,0.4803358503858629,0.7067441860465117,0.7036125046069547,0.9510714285714285,0.8084991769467825,0.6045952380952381,0.7211637907617586
2,0.448056436332201,0.6634883720930234,0.6649858010126917,0.975,0.7904953780492022,0.7136904761904761,0.8341491084446612
3,0.4723062946857285,0.6946511627906977,0.7011483469799066,0.9555172413793105,0.8084221821374311,0.652487684729064,0.7931035507705139
4,0.43933142491572497,0.709767441860465,0.7148675059037327,0.9503448275862069,0.8154464657938684,0.7456896551724138,0.8643245471648896
5,0.43431403451390904,0.7090697674418606,0.7130640058422094,0.953103448275862,0.8155008853679291,0.7088423645320197,0.8417236254385964
6,0.4622874350999527,0.7230232558139535,0.7171164409871084,0.9755172413793103,0.8261783020813835,0.7607142857142856,0.8685686802296593
7,0.4125742083913176,0.7623809523809523,0.7426587489075597,0.9882142857142857,0.8475846465073792,0.7950765306122447,0.8704999934215475
8,0.4436186700357897,0.7395238095238096,0.7355916431007092,0.9532142857142856,0.8299002545849821,0.7280357142857143,0.8355337243717426
9,0.4542886200992607,0.7469047619047621,0.7352715145360128,0.9724999999999998,0.8369429329054996,0.8040561224489794,0.8884799134527002
10,0.45894917713154354,0.7228571428571429,0.7216825772017194,0.9546428571428568,0.821563135813576,0.7618622448979592,0.8534882950747693
