score,feature
score_0,K17398
score_0,K23547
score_0,K01607
score_0,K09469
score_0,K10241
score_0,K02744
score_0,K21948
score_0,K22424
score_0,K02510
score_0,K21417
score_0,K16248
score_0,K01725
score_0,K16951
score_0,K03650
score_0,K09924
score_0,K23393
score_0,K21578
score_0,K01524
score_0,K22605
score_0,K00567
score_0,K05979
score_0,K09760
score_0,K01040
score_0,K11741
score_0,K07552
score_0,K13016
score_0,K21023
score_0,K18344
score_0,K22607
score_0,K03602
score_0,K22405
score_0,K19545
score_0,K08722
score_0,K03324
score_0,K18979
score_0,K09859
score_0,K02517
score_0,K18866
score_0,K06120
score_0,K01560
score_0,K01910
score_0,K04835
score_0,K11733
score_0,K23189
score_0,K07149
score_0,K18119
score_0,K02474
score_0,K17716
score_0,K17204
score_0,K00863
score_0,K01430
score_0,K19428
score_0,K20276
score_0,K01046
score_0,K21576
score_0,K18331
score_0,K18889
score_0,K06153
score_0,K23351
score_0,K03087
score_0,K03111
score_0,K10560
score_0,K17318
score_0,K23536
score_0,K10708
score_0,K08963
score_0,K19540
score_0,K19405
score_0,K06013
score_0,K02531
score_0,K03841
score_0,K15552
score_0,K22736
score_0,K06015
score_0,K01299
score_0,K14048
score_0,K15515
score_0,K20344
score_0,K07089
score_0,K13653
score_0,K21579
score_0,K07337
score_0,K22522
score_0,K17319
score_0,K02039
score_0,K16881
score_0,K20345
score_0,K06997
score_0,K15924
score_0,K15922
score_0,K19134
score_0,K01925
score_0,K07306
score_0,K02434
score_0,K09764
score_0,K00254
score_0,K01903
score_0,K00113
score_0,K21400
score_0,K00560
score_0,K01261
score_0,K16907
score_0,K02197
score_0,K07460
score_0,K01939
score_0,K02055
score_0,K03503
score_0,K03803
score_0,K01972
score_0,K21416
score_0,K11104
score_0,K07319
score_0,K22129
score_0,K18427
score_0,K21571
score_0,K04047
score_0,K00364
score_0,K10556
score_0,K13542
score_0,K07025
score_0,K01902
score_0,K17320
score_0,K07341
score_0,K19114
score_0,K19286
score_0,K09014
score_0,K10559
score_0,K03969
score_0,K00459
score_0,K19505
score_0,K01226
score_0,K06926
score_0,K01473
score_0,K03665
score_0,K23535
score_0,K13012
score_0,K12059
score_0,K01735
score_0,K19171
score_0,K03975
score_0,K18231
score_0,K01835
score_0,K02933
score_0,K03781
score_0,K14652
score_0,K01779
score_0,K09812
score_0,K08299
score_0,K05808
score_0,K07132
score_0,K08282
score_0,K00819
score_0,K07455
score_0,K00661
score_0,K01151
score_0,K01817
score_0,K01547
score_0,K21147
score_0,K19242
score_0,K16784
score_0,K15871
score_0,K07005
score_0,K07704
score_0,K01281
score_0,K07474
score_0,K06950
score_0,K13075
score_0,K00768
score_0,K09131
score_0,K23148
score_0,K08094
score_0,K01883
score_0,K03190
score_0,K07505
score_0,K13921
score_0,K23546
score_0,K01695
score_0,K12293
score_0,K14188
score_0,K15582
score_0,K05851
score_0,K02793
score_0,K08364
score_0,K00886
score_0,K00287
score_0,K13671
score_0,K02526
score_0,K01886
score_0,K01623
score_0,K01890
score_0,K02040
score_0,K02226
score_0,K16328
score_0,K11529
score_0,K16874
score_0,K03187
score_0,K18910
score_0,K00712
score_0,K19092
score_0,K01665
score_0,K15460
score_0,K15977
score_0,K22227
score_0,K21063
score_0,K19421
score_0,K06879
score_0,K00171
score_0,K00371
score_0,K09118
score_0,K18332
score_0,K06199
score_0,K21759
score_0,K09861
score_0,K03769
score_0,K03230
score_0,K07192
score_0,K17828
score_0,K01479
score_0,K01198
score_0,K03664
score_0,K19118
score_0,K21583
score_0,K01715
score_0,K02009
score_0,K10120
score_0,K03565
score_0,K02852
score_0,K01646
score_0,K03116
score_0,K02372
score_0,K03601
score_0,K02768
score_0,K01934
score_0,K00809
score_0,K01056
score_0,K16147
score_0,K18330
score_0,K00831
score_0,K23004
score_0,K18346
score_0,K02395
