fold,mse,accuracy,precision,recall,f1,auc,auprc
1,0.42235971734118616,0.7016216216216218,0.6887717680784367,0.98875,0.8115852363093785,0.8392307692307692,0.894313570708392
2,0.4697568689296176,0.6262162162162163,0.6607598519216904,0.8720833333333333,0.7512387897666697,0.5769871794871795,0.7378880199658014
3,0.4347888149379369,0.6632432432432434,0.6654496834789768,0.9704166666666667,0.7890385667192988,0.7255128205128204,0.8414239668709211
4,0.4909192855032121,0.6991891891891892,0.7003801166315479,0.9412500000000001,0.8024212044943186,0.7449358974358974,0.853725479634107
5,0.47779163301532906,0.671081081081081,0.6715812542640104,0.9670833333333332,0.792357226015535,0.7607051282051281,0.8616083884235279
6,0.4884389898725051,0.648108108108108,0.6603877328374481,0.9429166666666666,0.7762697482394746,0.6551282051282051,0.8060989330820828
7,0.4166390627949445,0.693888888888889,0.6877890215680549,0.9600000000000002,0.8006441389961325,0.7885284280936454,0.8777454536677491
8,0.5120554147600694,0.6905555555555556,0.6840215492338438,0.9608695652173914,0.7987209281592912,0.6550167224080268,0.764677700460759
9,0.4342743232600146,0.683888888888889,0.6895294008239355,0.9591666666666667,0.8018776050174907,0.7476041666666667,0.8554090116668225
10,0.414376999452863,0.7527777777777778,0.7425324426295277,0.9695833333333335,0.8400340642975599,0.8290277777777778,0.9038867094429002
