score,feature
score_0,vanillylmandelate (VMA)
score_0,X-11795
score_0,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
score_0,homostachydrine*
score_0,imidazole lactate
score_0,N4-acetylcytidine
score_0,glycodeoxycholate 3-sulfate
score_0,glycochenodeoxycholate glucuronide (1)
score_0,mannitol/sorbitol
score_0,catechol sulfate
score_0,2-aminoheptanoate
score_0,10-undecenoate (11:1n1)
score_0,cytidine
score_0,N-palmitoyl-sphingadienine (d18:2/16:0)*
score_0,androsterone glucuronide
score_0,tryptophan betaine
score_0,N-palmitoyl-sphingosine (d18:1/16:0)
score_0,salicylate
score_0,pseudouridine
score_0,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
score_0,glucuronate
score_0,palmitoyl dihydrosphingomyelin (d18:0/16:0)*
score_0,tyrosine
score_0,deoxycarnitine
score_0,ascorbic acid 2-sulfate
score_0,3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**
score_0,hippurate
score_0,maleate
score_0,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
score_0,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
score_0,pantothenate
score_0,1-linolenoyl-GPC (18:3)*
score_0,guaiacol sulfate
score_0,cholesterol
score_0,ribonate
score_0,X-25810
score_0,2-ketocaprylate
score_0,oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
score_0,N-palmitoyl-heptadecasphingosine (d17:1/16:0)*
score_0,6-bromotryptophan
score_0,alpha-tocopherol
score_0,"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*"
score_0,N-acetyl-aspartyl-glutamate (NAAG)
score_0,beta-hydroxyisovalerate
score_0,X-13553
score_0,undecenoylcarnitine (C11:1)
score_0,arachidonoylcarnitine (C20:4)
score_0,4-ethylphenylsulfate
score_0,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
score_0,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*
score_0,behenoyl sphingomyelin (d18:1/22:0)*
score_0,X-18913
score_0,thyroxine
score_0,X-21339
score_0,1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
score_0,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*
score_0,4-allylphenol sulfate
score_0,theophylline
score_0,1-stearoyl-2-oleoyl-GPS (18:0/18:1)
score_0,4-guanidinobutanoate
score_0,hexadecadienoate (16:2n6)
score_0,indolepropionate
score_0,"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*"
score_0,X-11787
score_0,N-acetylglucosamine/N-acetylgalactosamine
score_0,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)"
score_0,taurolithocholate 3-sulfate
score_0,choline phosphate
score_0,decadienedioic acid (C10:2-DC)**
score_0,dihydroorotate
score_0,N-acetylputrescine
score_0,dihomo-linolenoylcarnitine (C20:3n3 or 6)*
score_0,cystine
score_0,phytanate
score_0,"sphingomyelin (d18:1/20:0, d16:1/22:0)*"
score_0,3-hydroxydecanoylcarnitine
score_0,4-hydroxyhippurate
score_0,"sphingomyelin (d18:1/24:1, d18:2/24:0)*"
score_0,linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*
score_0,carnitine
score_0,dodecenedioate (C12:1-DC)*
score_0,glutamine conjugate of C6H10O2 (2)*
score_0,4-vinylphenol sulfate
score_0,methylsuccinate
score_0,2-hydroxydecanoate
score_0,"hydroxy-N6,N6,N6-trimethyllysine*"
score_0,glutamine conjugate of C6H10O2 (1)*
score_0,1-stearoyl-2-oleoyl-GPC (18:0/18:1)
score_0,gamma-tocopherol/beta-tocopherol
score_0,uridine
score_0,phosphoethanolamine
score_0,N-delta-acetylornithine
score_0,"N,N-dimethylalanine"
score_0,pyridoxate
score_0,tridecenedioate (C13:1-DC)*
score_0,X-25420
score_0,X-13728
score_0,"bilirubin (E,E)*"
score_0,S-methylcysteine
score_0,gulonate*
score_0,3-methoxytyrosine
score_0,X-18921
score_0,1-palmitoyl-2-oleoyl-GPC (16:0/18:1)
score_0,indolelactate
score_0,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*
score_0,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*
score_0,ascorbic acid 3-sulfate*
score_0,X-23644
score_0,N-acetylserine
score_0,X-24556
score_0,orotidine
score_0,lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)
score_0,succinoyltaurine
score_0,N-palmitoyl-sphinganine (d18:0/16:0)
score_0,succinate
score_0,octadecenedioylcarnitine (C18:1-DC)*
score_0,X-17010
score_0,ethylmalonate
score_0,2-aminophenol sulfate
score_0,isoursodeoxycholate
score_0,X-25422
score_0,"2,6-dihydroxybenzoic acid"
score_0,glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*
score_0,"bilirubin (E,Z or Z,E)*"
score_0,gluconate
score_0,xanthine
score_0,carotene diol (1)
score_0,butyrylcarnitine (C4)
score_0,N-acetylarginine
score_0,caprate (10:0)
score_0,N-acetylhistidine
score_0,sarcosine
score_0,"sphingomyelin (d18:1/20:1, d18:2/20:0)*"
score_0,hyocholate
score_0,lithocholate sulfate (1)
score_0,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
score_0,N-oleoylserine
score_0,citrulline
score_0,X-23739
score_0,O-sulfo-tyrosine
score_0,N-methylpipecolate
score_0,3-hydroxybutyroylglycine**
score_0,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*
score_0,dihomo-linoleoylcarnitine (C20:2)*
score_0,allantoin
score_0,cholate
score_0,N-acetyl-beta-alanine
score_0,3-methylglutaconate
score_0,X-21353
score_0,urea
score_0,4-hydroxychlorothalonil
score_0,X-24801
score_0,3-hydroxyoctanoate
score_0,methionine sulfoxide
score_0,3-hydroxydecanoate
score_0,X-11478
score_0,docosadioate (C22-DC)
score_0,margaroylcarnitine (C17)*
score_0,glutamine conjugate of C7H12O2*
score_0,X-14056
score_0,X-11444
score_0,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*
score_0,linolenoylcarnitine (C18:3)*
score_0,X-24748
score_0,pipecolate
score_0,9-hydroxystearate
score_0,behenoylcarnitine (C22)*
score_0,3-hydroxyhippurate
score_0,"androstenediol (3beta,17beta) disulfate (2)"
score_0,X-16576
score_0,3-(4-hydroxyphenyl)lactate
score_0,dimethylarginine (SDMA + ADMA)
score_0,isobutyrylcarnitine (C4)
score_0,cerotoylcarnitine (C26)*
score_0,"cys-gly, oxidized"
score_0,X-11381
score_0,5-methyluridine (ribothymidine)
score_0,glutarate (C5-DC)
score_0,lignoceroylcarnitine (C24)*
score_0,stearoyl sphingomyelin (d18:1/18:0)
score_0,argininate*
score_0,hypotaurine
score_0,ximenoylcarnitine (C26:1)*
score_0,alpha-ketoglutaramate*
score_0,guanidinoacetate
score_0,adenosine 5'-monophosphate (AMP)
score_0,glycerophosphorylcholine (GPC)
score_0,tetradecadienedioate (C14:2-DC)*
score_0,1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
score_0,1-palmitoleoyl-GPC (16:1)*
score_0,isovalerylcarnitine (C5)
score_0,X-15461
score_0,5-oxoproline
score_0,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
score_0,2-hydroxyoctanoate
score_0,X-24947
score_0,pregnenediol disulfate (C21H34O8S2)*
score_0,N-acetyltryptophan
score_0,X-15486
score_0,ornithine
score_0,3-formylindole
score_0,stearoylcarnitine (C18)
score_0,2'-deoxyuridine
score_0,X-12101
score_0,nicotinamide
score_0,X-24475
score_0,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
score_0,X-21383
score_0,eicosapentaenoate (EPA; 20:5n3)
score_0,N-methylproline
score_0,nervonoylcarnitine (C24:1)*
score_0,X-21286
score_0,N-acetylmethionine
score_0,2-hydroxynervonate*
score_0,sphingosine 1-phosphate
score_0,1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*
score_0,caprylate (8:0)
score_0,malate
score_0,dimethylglycine
score_0,3-methylglutarylcarnitine (2)
score_0,EDTA
score_0,sphinganine-1-phosphate
score_0,oxalate (ethanedioate)
score_0,"N2,N2-dimethylguanosine"
score_0,alpha-hydroxyisovalerate
score_0,heptenedioate (C7:1-DC)*
score_0,"5,6-dihydrothymine"
score_0,N-acetylalanine
score_0,tryptophan
score_0,glutarylcarnitine (C5-DC)
score_0,X-11483
score_0,histidine
score_0,gamma-glutamylmethionine
score_0,oleamide
score_0,stearidonate (18:4n3)
score_0,N-acetylasparagine
score_0,pyridoxal
score_0,sebacate (C10-DC)
score_0,asparagine
score_0,laurate (12:0)
score_0,docosapentaenoate (n3 DPA; 22:5n3)
score_0,1-oleoylglycerol (18:1)
score_0,deoxycholic acid glucuronide
score_0,glutamine
score_0,X-21796
score_0,sphingosine
score_0,isoleucine
score_0,linolenate [alpha or gamma; (18:3n3 or 6)]
score_0,5-hydroxylysine
score_0,X-25519
score_0,X-25172
score_0,stearate (18:0)
score_0,lignoceroyl sphingomyelin (d18:1/24:0)
score_0,glucose
score_0,dodecadienoate (12:2)*
score_0,"2,3-dihydroxyisovalerate"
score_0,gamma-glutamylisoleucine*
score_0,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*
score_0,1-ribosyl-imidazoleacetate*
score_0,"bilirubin (Z,Z)"
score_0,indoleacetate
score_0,etiocholanolone glucuronide
score_0,pregnenolone sulfate
score_0,glutamine_degradant*
score_0,2-hydroxyhippurate (salicylurate)
score_0,pentose acid*
score_0,X-12844
score_0,X-21470
score_0,X-11299
