feature
(14 or 15)-methylpalmitate (a17:0 or i17:0)
(16 or 17)-methylstearate (a19:0 or i19:0)
(2 or 3)-decenoate (10:1n7 or n8)
(N(1) + N(8))-acetylspermidine
(S)-3-hydroxybutyrylcarnitine
"1,2-dilinoleoyl-GPC (18:2/18:2)"
"1,2-dipalmitoyl-GPC (16:0/16:0)"
"1,5-anhydroglucitol (1,5-AG)"
1-(1-enyl-oleoyl)-GPE (P-18:1)*
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*
1-(1-enyl-palmitoyl)-GPC (P-16:0)*
1-(1-enyl-palmitoyl)-GPE (P-16:0)*
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)
1-(1-enyl-stearoyl)-GPE (P-18:0)*
1-arachidonoyl-GPC (20:4n6)*
1-arachidonoyl-GPE (20:4n6)*
1-arachidonoyl-GPI (20:4)*
1-lignoceroyl-GPC (24:0)
1-linolenoyl-GPC (18:3)*
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*
1-linoleoyl-GPC (18:2)
1-linoleoyl-GPE (18:2)*
1-linoleoyl-GPI (18:2)*
1-linoleoylglycerol (18:2)
1-methyl-4-imidazoleacetate
1-methyl-5-imidazoleacetate
1-methylhistidine
1-methylnicotinamide
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
1-oleoyl-GPC (18:1)
1-oleoyl-GPE (18:1)
1-oleoyl-GPI (18:1)
1-oleoylglycerol (18:1)
1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*
1-palmitoleoyl-GPC (16:1)*
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*
