dataset,feature,importance_sum,freq_top20
immune,% CD14+ d0,0.07091747687467401,5
immune,% CD19+ CD3- CD27+ IgG+ d0,0.0590961699084104,6
immune,% CD4+ CCR7+ RO- CD31+ CXCR3- d0,0.099613494265026,9
immune,% CD4+ CCR7+ RO- CD31- CXCR3+ d0,0.053626552393298305,4
immune,% CD4+ M CD25+ CD27- d0,0.08415235439425259,7
immune,% CD4+ M CD25- CD27+ d0,0.07346454512452588,8
immune,% CD4+ M CXCR5+ CCR7- d0,0.055977064765267405,6
immune,% CD4+ M Treg (FOXP3+ HELIOS+) d1,0.069203130165195,8
immune,% CD4+ N FOXP3+ d1,0.0840912065729598,8
immune,% CD4+ N Treg (FOXP3+ HELIOS+) d1,0.08138289022276231,9
immune,% CD4+ RO+ CCR6+ CD161- d6,0.051152708614251904,4
immune,% CD4+ RO+ CCR6+ IL-22+ IL-17+ d1,0.0753924560894499,7
immune,% CD4+ RO+ CCR6+ IL-22- IL-17+ d1,0.0524640687711907,6
immune,% CD4+ RO+ CCR6+ INFg- IL-17+ d1,0.1247931459945991,9
immune,% CD4+ RO+ CCR6+ total IL-17+ d1,0.11049824685093809,10
immune,% CD4+ RO+ CCR6+ total INFg+ d1,0.05246086056164241,6
immune,% CD4+ RO+ CCR6- IL-17+ INFg+ d6,0.115127827644319,11
immune,% CD4+ RO+ CCR6- IL-17+ INFg- d6,0.10133902961367251,9
immune,% CD4+ RO+ CCR6- INFg+ TNFa- d1,0.0746674464741405,7
immune,% CD4+ RO+ CCR6- total IL-17+ d6,0.1119449847245921,10
immune,% CD4+ RO+ CD161+ IL-17+ INFg- d6,0.10720270149640179,9
immune,% CD4+ RO+ CD161+ total IL-17+ d6,0.0544314942783688,6
immune,% CD4+ RO+ CD27- (TEM) d0,0.06117529415479721,5
immune,% CD4+ RO+ INFg+ TNFa- d1,0.06360996833476651,8
immune,% CD4+ RO+ INFg- IL-17+ d1,0.0672977685756989,6
immune,% CD4+ RO- CD27- (TEMRA) d0,0.0560077191011301,6
immune,% CD8+ IL-17+ IL-22+ d6,0.1096932479910084,6
immune,% CD8+ INFg+ IL4+ d1,0.09029797271296809,9
immune,% CD8+ INFg- IL4+ d1,0.05307722083847161,5
immune,% CD8+ MAIT INFg+ GzA+ d1,0.0756418336189342,8
immune,% CD8+ MAIT total INFg+ d1,0.0658360596310786,7
immune,% CD8+ MAIT total TNFa+ d6,0.055579880701520507,5
immune,% CD8+ RO+ CCR6+ d1,0.0579669717414787,4
immune,% CD8+ RO+ CCR6- IL4- GMCSF+ d1,0.0556384817945119,6
immune,% CD8+ RO+ CCR6- INFg+ TNFa+ d1,0.0541636507081538,6
immune,% CD8+ RO+ CCR6- total INFg+ d1,0.055402880745707095,6
immune,% CD8+ RO+ Va7.2- total TNFa+ d6,0.078769837180537,6
immune,% CD8+ RO- CCR6- IL4- GMCSF+ d1,0.05497218058909011,5
immune,% DN RO+ CCR6+ d1,0.059832787299750695,5
immune,% DN RO+ CCR6- INFg+ TNFa+ d1,0.1046062977905532,8
immune,% DN RO+ CCR6- INFg- TNFa+ d1,0.2682907281247411,10
immune,% DN RO+ CCR6- total INFg+ d1,0.10772008889989519,9
immune,% DN d6,0.050868973525642305,4
immune,% Dcs CD1c+ d0,0.0968129864691555,7
immune,% viable CD3- CCR6- CD161+ INFg- d1,0.0553081608867586,6
immune,% viable CD3- CCR6- GzA+ INFg+ d1,0.08090478631453699,7
immune,% viable CD3- CCR6- d1,0.058426514832898103,5
immune,%CD8+ CD161+ Va7.2- d6,0.06041261675719391,5
immune,%DN CD161+ Va7.2- d0,0.0556701998092727,6
immune,CD3+ gdTCR+ CD3hi,0.16134920240095843,10
immune,CD4:CD8 d0,0.08347532284038468,7
immune,DN % RO+ CD27- d0,0.0699276717947515,5
immune,DN % RO- CD27+ d0,0.0790021040246433,9
immune,DN % RO- CD27- d0,0.0650573853748001,4
immune,NK Cells (% CD3- 2B4+),0.07584593506436631,7
immune,Total gd Cells (gdTCR CD3hi + CD3lo),0.1228431013697628,10
immune,total % CD4+ d0,0.10750761998238881,9
immune,total % CD8+ d0,0.07824146229755861,9
immune,total % DN d0,0.1270491080258616,9
specie,Alistipes_communis,0.27401448059799316,10
specie,Alistipes_finegoldii,0.24144416160307783,8
specie,Bacteroides_ovatus,0.1977671685716437,8
specie,Bifidobacterium_longum,0.1429719684668637,5
specie,Bilophila_wadsworthia,0.19480483486394864,6
specie,Blautia_faecis,0.1825603204281838,5
specie,Blautia_wexlerae,0.21571211367638166,9
specie,Candidatus_Cibiobacter_qucibialis,0.1425397201303276,4
specie,Clostridiales_bacterium,0.1564007233025975,4
specie,Clostridium_fessum,0.15508512257861432,6
specie,Clostridium_sp_AF15_49,0.14971789296905508,5
specie,Clostridium_sp_AF36_4,0.15369952348185859,6
specie,Clostridium_sp_AM49_4BH,0.4489366773847882,9
specie,Coprococcus_eutactus,0.2679195093083726,7
specie,Dialister_invisus,0.2274314674431615,8
specie,Dysosmobacter_welbionis,0.41724023295449064,11
specie,Escherichia_coli,0.13851469177473788,4
specie,Faecalibacterium_prausnitzii,0.2382104032633924,10
specie,Flavonifractor_plautii,0.14117148280072958,3
specie,GGB9602_SGB15031,0.16210968534288037,5
specie,GGB9615_SGB15053,0.19361637753607078,6
specie,GGB9635_SGB15106,0.1884129511836737,5
specie,GGB9758_SGB15368,0.12621496772934818,5
specie,Odoribacter_splanchnicus,0.2079048111461032,6
specie,Parasutterella_excrementihominis,0.13367929513784288,3
specie,Roseburia_faecis,0.1870177698435038,7
specie,Roseburia_inulinivorans,0.20141499626575637,7
specie,Roseburia_sp_AF02_12,0.1529824875420178,6
specie,Ruminococcus_bicirculans,0.25206250524890605,10
