fold,mse,accuracy,precision,recall,f1,auc,auprc
1,0.48165328759258264,0.6942222222222222,0.7214618632517386,0.9087096774193548,0.8036891309953883,0.7058294930875575,0.8495933777933616
2,0.44480188813770183,0.7039999999999997,0.713396428418774,0.955483870967742,0.8163052424650301,0.7016129032258063,0.848585391506854
3,0.5153228939730583,0.7055555555555554,0.7149721553988242,0.9306666666666666,0.8080370926330614,0.7371333333333334,0.8547430918178434
4,0.4961886681078015,0.6795555555555556,0.6859814374163498,0.9593333333333335,0.7995778181492489,0.6679111111111109,0.8065007833561333
5,0.47404647525291793,0.7068888888888888,0.7054561974577572,0.9636666666666668,0.8141464978202344,0.7277333333333335,0.8499046132624001
6,0.49241374436822055,0.7102272727272728,0.7045382082938804,0.9910000000000001,0.8234577485139521,0.5882142857142856,0.7453155580119898
7,0.41698180282223724,0.7322727272727273,0.7233952496894925,0.9856666666666666,0.8340585604572037,0.7399285714285714,0.8474779620369632
8,0.4671311428156284,0.7220454545454545,0.7146361216910968,0.9883333333333334,0.8292187409949914,0.7628809523809523,0.8676629232954949
9,0.4364696204583794,0.6895454545454544,0.695694515160109,0.97,0.8099061140351987,0.6963571428571427,0.8317798794368428
10,0.45492044603245646,0.6861363636363638,0.6972446814631266,0.9543333333333335,0.8055401289911498,0.6745476190476191,0.8320996896969504
