score,feature
score_0,Chol/HDLC Ratio
score_0,Urea Nitrogen (BUN)
score_0,"Bilirubin, Total"
score_0,Non HDL Cholesterol
score_0,MPV
score_0,Albumin/Globulin Ratio
score_0,Potassium
score_0,Eosinophils
score_0,Absolute Basophils
score_0,LDL-Cholesterol
score_0,ALT
score_0,Triglycerides
score_0,Sed Rate
score_0,Absolute Monocytes
score_0,RDW
score_0,Neutrophils
score_0,Alkaline Phosphatase
score_0,"Cholesterol, Total"
score_0,Sodium
score_0,Creatinine
score_0,Platelet Count
score_0,eGFR African American
score_0,eGFR non-African American
score_0,HDL Cholesterol
score_0,TSH
score_0,White Blood Cell Count
score_0,Red Blood Cell Count
score_0,Absolute Lymphocytes
score_0,C-Reactive Protein
score_1,Chol/HDLC Ratio
score_1,Urea Nitrogen (BUN)
score_1,"Bilirubin, Total"
score_1,Non HDL Cholesterol
score_1,MPV
score_1,Albumin/Globulin Ratio
score_1,Potassium
score_1,Eosinophils
score_1,Absolute Basophils
score_1,LDL-Cholesterol
score_1,ALT
score_1,Triglycerides
score_1,Sed Rate
score_1,Absolute Monocytes
score_1,RDW
score_1,Neutrophils
score_1,Alkaline Phosphatase
score_1,"Cholesterol, Total"
score_1,Sodium
score_1,Creatinine
score_1,Platelet Count
score_1,eGFR African American
score_1,eGFR non-African American
score_1,C-Reactive Protein
score_1,HDL Cholesterol
score_1,TSH
score_1,White Blood Cell Count
score_1,Red Blood Cell Count
score_1,MCH
score_1,Absolute Lymphocytes
score_2,Chol/HDLC Ratio
score_2,Urea Nitrogen (BUN)
score_2,"Bilirubin, Total"
score_2,Non HDL Cholesterol
score_2,MPV
score_2,Albumin/Globulin Ratio
score_2,Potassium
score_2,Eosinophils
score_2,Absolute Basophils
score_2,LDL-Cholesterol
score_2,ALT
score_2,Triglycerides
score_2,Sed Rate
score_2,Absolute Monocytes
score_2,RDW
score_2,Neutrophils
score_2,Alkaline Phosphatase
score_2,"Cholesterol, Total"
score_2,Sodium
score_2,Creatinine
score_2,Platelet Count
score_2,eGFR African American
score_2,eGFR non-African American
score_2,Glucose
score_2,Hemoglobin
score_2,Carbon Dioxide
score_2,White Blood Cell Count
score_2,Red Blood Cell Count
score_2,Hemocrit
score_2,Absolute Neutrophils
score_2,Absolute Lymphocytes
score_2,Absolute Eosinophils
score_2,Lymphocytes
score_2,Vitamin B12
score_3,Chol/HDLC Ratio
score_3,Urea Nitrogen (BUN)
score_3,"Bilirubin, Total"
score_3,Non HDL Cholesterol
score_3,MPV
score_3,Albumin/Globulin Ratio
score_3,Potassium
score_3,Eosinophils
score_3,Absolute Basophils
score_3,LDL-Cholesterol
score_3,ALT
score_3,Triglycerides
score_3,Sed Rate
score_3,Absolute Monocytes
score_3,RDW
score_3,Neutrophils
score_3,Alkaline Phosphatase
score_3,"Cholesterol, Total"
score_3,Sodium
score_3,Creatinine
score_3,Platelet Count
score_3,eGFR African American
score_3,eGFR non-African American
score_3,Globulin
score_3,MCV
score_3,Vitamin B12
score_3,Chloride
score_3,Carbon Dioxide
score_3,Calcium
score_3,"Protein, Total"
score_3,TSH
score_3,White Blood Cell Count
score_3,Absolute Lymphocytes
score_4,Chol/HDLC Ratio
score_4,Urea Nitrogen (BUN)
score_4,"Bilirubin, Total"
score_4,Non HDL Cholesterol
score_4,MPV
score_4,Albumin/Globulin Ratio
score_4,Potassium
score_4,Eosinophils
score_4,Absolute Basophils
score_4,LDL-Cholesterol
score_4,ALT
score_4,Triglycerides
