fold,mse,accuracy,precision,recall,f1,auc,auprc
1,0.46579051286703677,0.7174418604651163,0.7100582612113798,0.9585714285714286,0.815390221554008,0.6225952380952381,0.710581900900788
2,0.4269517042943443,0.6748837209302326,0.6748320543724611,0.9671428571428571,0.7947541975492461,0.7404523809523809,0.851072680655556
3,0.44078593302571933,0.7109302325581396,0.7090957619908348,0.9706896551724139,0.8192108982839492,0.695295566502463,0.8181026366360475
4,0.40683774280688595,0.7606976744186046,0.7548859496163971,0.9589655172413795,0.8439940215302205,0.8101477832512316,0.8908311252176057
5,0.39085098554640363,0.7376744186046511,0.7401904413920668,0.943448275862069,0.8291398127148217,0.801206896551724,0.8931124065236646
6,0.45670202611111393,0.7113953488372092,0.7272479751004266,0.919655172413793,0.8113230467174901,0.7618719211822661,0.8756734523407483
7,0.39921600640433114,0.7933333333333331,0.7771203085571531,0.9714285714285714,0.8628710569660099,0.7808928571428573,0.8426648870509872
8,0.42633421684604833,0.7440476190476188,0.7396454691702512,0.955,0.8330130210446894,0.7610714285714285,0.8503420900806866
9,0.4246893787874062,0.7595238095238095,0.740451128474334,0.9882142857142857,0.8460886873299235,0.809285714285714,0.8835401202105864
10,0.4215931232884939,0.7538095238095237,0.7509079556465393,0.9460714285714285,0.8368674002057754,0.8075510204081631,0.8882865966478052
