score,feature
score_0,Clostridium_sp_AM49_4BH
score_0,Dysosmobacter_welbionis
score_0,Coprococcus_eutactus
score_0,Ruminococcus_bicirculans
score_0,Ruminococcus_gnavus
score_0,Odoribacter_splanchnicus
score_0,Roseburia_inulinivorans
score_0,Blautia_faecis
score_0,Bacteroides_ovatus
score_0,Alistipes_communis
score_0,Clostridium_fessum
score_0,Blautia_wexlerae
score_0,Faecalibacterium_prausnitzii
score_0,Bilophila_wadsworthia
score_0,Dialister_invisus
score_0,Akkermansia_muciniphila
score_0,Roseburia_sp_AF02_12
score_0,GGB9758_SGB15368
score_0,Clostridium_sp_AF36_4
score_0,Blautia_massiliensis
score_0,Alistipes_finegoldii
score_0,Ruminococcus_lactaris
score_0,Bifidobacterium_longum
score_0,Roseburia_faecis
score_0,GGB9635_SGB15106
score_0,Bacteroides_finegoldii
score_0,Ruminococcaceae_unclassified_SGB15265
score_0,Ruthenibacterium_lactatiformans
score_0,Alistipes_shahii
score_0,Clostridium_sp_AF15_49
score_0,Bacteroides_cellulosilyticus
score_0,Lachnospira_sp_NSJ_43
score_0,GGB9615_SGB15053
score_0,Parasutterella_excrementihominis
score_0,Streptococcus_thermophilus
score_0,Escherichia_coli
score_0,Lachnospiraceae_bacterium_WCA3_601_WT_6H
score_0,Clostridium_sp_AF34_10BH
score_0,Parabacteroides_merdae
score_0,GGB9602_SGB15031
score_0,Bacteroides_thetaiotaomicron
score_0,Roseburia_intestinalis
score_0,Coprococcus_comes
score_0,Lacrimispora_celerecrescens
score_0,Candidatus_Cibiobacter_qucibialis
score_0,Gemmiger_formicilis
score_0,Bacteroides_caccae
score_0,Candidatus_Gastranaerophilales_bacterium
score_0,Phocaeicola_dorei
score_0,Bacteroides_stercoris
score_0,Clostridiales_bacterium
score_0,Flavonifractor_plautii
score_0,Faecalibacterium_SGB15346
score_0,Alistipes_putredinis
score_0,GGB3746_SGB5089
score_0,Ruminococcus_torques
score_0,Phocaeicola_vulgatus
score_0,Bacteroides_uniformis
score_0,Parabacteroides_distasonis
score_0,Phocaeicola_massiliensis
score_0,Bacteroides_xylanisolvens
score_0,Bacteroides_fragilis
score_0,Eubacterium_siraeum
score_0,Barnesiella_intestinihominis
score_0,Lachnospira_pectinoschiza
score_0,Anaerostipes_hadrus
score_0,Rikenellaceae_bacterium
score_0,GGB1266_SGB1699
score_0,Blautia_obeum
score_0,Collinsella_aerofaciens
score_0,GGB9342_SGB14306
score_0,Alistipes_ihumii
score_1,Clostridium_sp_AM49_4BH
score_1,Dysosmobacter_welbionis
score_1,Coprococcus_eutactus
score_1,Ruminococcus_bicirculans
score_1,Ruminococcus_gnavus
score_1,Odoribacter_splanchnicus
score_1,Roseburia_inulinivorans
score_1,Blautia_faecis
score_1,Bacteroides_ovatus
score_1,Alistipes_communis
score_1,Clostridium_fessum
score_1,Blautia_wexlerae
score_1,Faecalibacterium_prausnitzii
score_1,Bilophila_wadsworthia
score_1,Dialister_invisus
score_1,Akkermansia_muciniphila
score_1,Roseburia_sp_AF02_12
score_1,GGB9758_SGB15368
score_1,Clostridium_sp_AF36_4
score_1,Blautia_massiliensis
score_1,Alistipes_finegoldii
score_1,Ruminococcus_lactaris
score_1,Bifidobacterium_longum
score_1,Roseburia_faecis
score_1,GGB9635_SGB15106
score_1,Bacteroides_finegoldii
score_1,Ruminococcaceae_unclassified_SGB15265
score_1,Ruthenibacterium_lactatiformans
score_1,Alistipes_shahii
score_1,Clostridium_sp_AF15_49
score_1,Bacteroides_cellulosilyticus
score_1,Lachnospira_sp_NSJ_43
score_1,GGB9615_SGB15053
score_1,Parasutterella_excrementihominis
score_1,Streptococcus_thermophilus
score_1,Escherichia_coli
score_1,Lachnospiraceae_bacterium_WCA3_601_WT_6H
score_1,Clostridium_sp_AF34_10BH
score_1,Parabacteroides_merdae
score_1,GGB9602_SGB15031
score_1,Bacteroides_thetaiotaomicron
score_1,Roseburia_intestinalis
score_1,Coprococcus_comes
score_1,Lacrimispora_celerecrescens
score_1,Candidatus_Cibiobacter_qucibialis
score_1,Gemmiger_formicilis
score_1,Bacteroides_caccae
score_1,Candidatus_Gastranaerophilales_bacterium
score_1,Phocaeicola_dorei
score_1,Bacteroides_stercoris
score_1,Clostridiales_bacterium
score_1,Flavonifractor_plautii
score_1,Faecalibacterium_SGB15346
score_1,Alistipes_putredinis
score_1,GGB3746_SGB5089
score_1,Ruminococcus_torques
score_1,Phocaeicola_vulgatus
score_1,Bacteroides_uniformis
