,Phocaeicola_vulgatus,Bacteroides_uniformis,Faecalibacterium_prausnitzii,Bacteroides_stercoris,Phocaeicola_dorei,Prevotella_copri_clade_A,Bacteroides_ovatus,Alistipes_putredinis,Parabacteroides_distasonis,Bacteroides_caccae,Bacteroides_thetaiotaomicron,Bacteroides_cellulosilyticus,Akkermansia_muciniphila,Alistipes_finegoldii,Parabacteroides_merdae,Bacteroides_eggerthii,Phocaeicola_massiliensis,Bacteroides_xylanisolvens,Bacteroides_fragilis,Clostridium_sp_AF34_10BH,Candidatus_Cibiobacter_qucibialis,Blautia_wexlerae,Alistipes_shahii,Eubacterium_siraeum,Ruminococcus_bicirculans,Barnesiella_intestinihominis,Phocaeicola_plebeius,Dialister_invisus,Lachnospira_eligens,Ruminococcus_bromii,Ruminococcus_torques,Gemmiger_formicilis,Dysosmobacter_welbionis,GGB9615_SGB15053,Lachnospira_pectinoschiza,Roseburia_faecis,Bacteroides_intestinalis,Clostridiaceae_bacterium,Roseburia_intestinalis,Sutterella_wadsworthensis,Odoribacter_splanchnicus,GGB3293_SGB4348,Anaerostipes_hadrus,GGB6612_SGB9346,Lachnospira_sp_NSJ_43,Phocaeicola_coprocola,Rikenellaceae_bacterium,Paraprevotella_clara,Parasutterella_excrementihominis,Roseburia_hominis,GGB6613_SGB9347,Bacteroides_faecis,Escherichia_coli,Clostridium_fessum,Coprococcus_eutactus,Roseburia_inulinivorans,GGB1266_SGB1699,GGB9635_SGB15106,Prevotella_copri_clade_C,Prevotella_marseillensis,Ruminococcaceae_unclassified_SGB15265,Blautia_faecis,Dorea_longicatena,GGB9758_SGB15368,Blautia_obeum,Faecalibacterium_SGB15346,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Ruminococcaceae_unclassified_SGB15234,Blautia_massiliensis,Candidatus_Gastranaerophilales_bacterium,Bilophila_wadsworthia,Flavonifractor_plautii,GGB6608_SGB9342,GGB9059_SGB13976,Anaerobutyricum_hallii,GGB6601_SGB9333,Prevotella_sp_885,Clostridia_unclassified_SGB13972,Prevotella_stercorea,Alistipes_communis,Clostridium_sp_AF15_49,Bacteroides_finegoldii,Lacrimispora_amygdalina,Clostridium_sp_AF36_4,Bifidobacterium_adolescentis,GGB1681_SGB2313,Odoribacter_laneus,Clostridiales_bacterium,GGB3746_SGB5089,Ruthenibacterium_lactatiformans,Bacteroides_salyersiae,Coprococcus_comes,Ruminococcus_sp_NSJ_71,Clostridia_unclassified_SGB4367,Bifidobacterium_longum,Akkermansia_sp_KLE1605,Akkermansia_sp_BIOML_A40,Collinsella_aerofaciens,Parabacteroides_johnsonii,GGB9176_SGB14114,Roseburia_sp_AF02_12,Bacteroidaceae_bacterium,GGB9342_SGB14306,Ruminococcaceae_unclassified_SGB15260,Ruminococcaceae_unclassified_SGB4191,Ruminococcus_lactaris,Lachnospira_SGB5077,Lacrimispora_celerecrescens,Clostridium_sp_AM49_4BH,Alistipes_ihumii,Ruminococcus_gnavus,GGB9602_SGB15031,Parasutterella_SGB9260,Pseudoruminococcus_massiliensis,Streptococcus_thermophilus,Sutterella_SGB9281,Clostridium_sp_AF34_13,Acidaminococcus_intestini
score_0,0.00682035714199158,0.010151216331172493,0.0159524334195515,0.003078811849425916,0.007300433469737501,0.002816955853279123,0.024862822268870627,0.005572859419888985,0.009148234570264764,0.005602541291854972,0.007239406905974226,0.005767948617671631,0.01429335964780082,0.01237746098518953,0.004935786396455587,0.0015567995622532893,0.009936978915908995,0.005800465063576513,0.00742881705686642,0.0089210983681569,0.008968422904486293,0.015984151191760634,0.008180151543117723,0.009946762346910347,0.030929706844445667,0.006431674006475677,0.0029679345196092746,0.01473427063755476,0.004030584991483362,0.0033167124418669574,0.006026558528641776,0.006640444187982067,0.05292432330364857,0.005522328787172486,0.009730206645792952,0.011324550255290508,0.0034533700911653867,0.0055656101410593815,0.004888326330739007,0.004310990680054508,0.02868642373910903,0.0010126346032699417,0.00858852039088038,0.0012170388462249728,0.0023408529640696818,0.001830680499818548,0.00891296371815156,0.005301266761209556,0.00450512073104827,0.003757375643908696,0.002903417664925186,0.002961504339013797,0.006409842744820185,0.018723870141931224,0.03457871135297256,0.025938344051004314,0.007516040739130383,0.011177547621145405,6.585320198645354e-05,2.7555736574587906e-05,0.0049755629168193784,0.025096161414943655,0.0031658878969187676,0.013576978523523964,0.009295269961935922,0.009498444984199822,0.009070779556504411,0.0030637594546507017,0.012757705700248817,0.0050999152294434885,0.015609769936326696,0.009661152774180755,0.0006930566408456608,0.0009683419235873438,0.003991851711215333,0.0006599699607960459,0.00029133471834129305,0.0006861977647655442,0.00021767906988113533,0.019623910589262664,0.010018188682335125,0.01020947047104213,0.004133685436339422,0.012994113769644303,0.0038084399075618124,7.71449277253631e-05,0.0010051034262346262,0.009755542454367497,0.00594887600013748,0.00822944710005168,0.0020000893049351097,0.005786252391269634,0.00020675454076795222,0.0010411789976201163,0.011578755711354928,0.0012209101523625444,0.0007231914525484871,0.007493279380345252,0.0006658184741360365,0.004628340076935159,0.014036297104766426,0.0006513670950642593,0.00646472235917884,0.0032170968770047826,0.0018417771547613185,0.011584791628511039,0.003551422207923839,0.00798847861064995,0.07373709969084222,0.008813467751530477,0.0295126233800885,0.00489753317862201,0.0052318992647276295,0.00294201358177682,0.006368206858612914,0.0007008368632546461,0.004021008723789274,0.0030136112764455156
score_1,0.006481685554798978,0.007813559053859472,0.01485363439442516,0.008039413499949646,0.00986188702416986,0.001388776622873728,0.014325666264355573,0.004425710971050364,0.010262457921779442,0.00570048183628294,0.005641510109410039,0.015225228685126865,0.005374587590024986,0.012634597282361146,0.004310399014097177,0.002095619476241628,0.013370527957452843,0.008062072393222403,0.0059037156371549455,0.011117598018945496,0.00666670552867142,0.011112581633944347,0.015342864617864818,0.006169270698457069,0.01874514892981465,0.009488902205557167,0.003569958874711103,0.020903660142711715,0.005166929147663316,0.002054427006408929,0.0043323015296968526,0.0030620598289126323,0.03410223680354912,0.00920285669159717,0.009437076202058298,0.03065446834795065,0.001847405942341172,0.0058698895435297825,0.011797177731510974,0.013104524374181165,0.017897390695611692,0.001284348288424267,0.006677000557258215,0.0014184249242245642,0.002093273890301361,0.0012860337805723108,0.00438055636789942,0.0063510995603766884,0.007171611596105261,0.005171572113016921,0.000950809798696442,0.005438140714557463,0.00822650215025465,0.016460866598167343,0.014586932914169645,0.011471721407941678,0.004718177393488788,0.029348674747902734,0.000604712506768939,3.5483124137013486e-05,0.018257221183002683,0.025309408938148464,0.003921955287156832,0.01497753651435714,0.0049246618886082255,0.00790133226656248,0.010458051133573676,0.00713726441091036,0.008351258982837638,0.00281643285712385,0.02181932181467524,0.005539454023745795,0.0008571728712320001,0.0007943445436958215,0.002592353866042449,0.0009066885447305195,0.0002188075575557042,7.93598865162359e-05,0.001477227331349924,0.02164337475019146,0.01523350658651085,0.02321194394516925,0.005992127507972914,0.013060677831788657,0.0020486498719598325,4.792994889646918e-05,0.00022043175259186986,0.010739512210961451,0.00558624641329338,0.016279841702603524,0.003645329883150222,0.0046278391707693396,0.000545711713180388,0.0019754689424346375,0.017741386479067735,0.00048811472681248427,0.0002664297689898346,0.012274371577964283,0.000677623674922756,0.004408711939986244,0.03003817125877531,0.0015273565765118139,0.009898419446804113,0.0018201046803280748,0.001311159373903169,0.003301807275890697,0.001265663940046794,0.014140530266968541,0.0403058495248646,0.009505804250718067,0.01745900235051675,0.012674457121992763,0.005038176415103177,0.004614353148579419,0.004979650284855917,2.832814880697561e-05,0.0061071293861262145,0.0018360440295743332
score_2,0.010139288911625936,0.006497223061036718,0.012040394880099184,0.011593135624580218,0.004820450155955304,0.00492438988188869,0.013490889392884052,0.009206737401607717,0.010418306860656666,0.0066384558611644546,0.014004697273304289,0.007575498583062308,0.003947956847100042,0.03401087127375054,0.015878671042086012,0.0013374181300699862,0.004078395680523278,0.0036729549776054003,0.007624378666283268,0.01629432565987994,0.0035781363730095607,0.02258184641160341,0.014291568086596719,0.00511140910899253,0.018212798223019667,0.0036548097208221695,0.0017772732587967416,0.03644208941275725,0.009761982861610433,0.005304502721742065,0.0066256018005485945,0.005134065088081294,0.02071763242323536,0.03349405321808314,0.0028172336625853847,0.028349720988406723,0.0017010965714060172,0.004514607750923064,0.013312216072849561,0.004820835968068718,0.008190745260323378,0.003580924709723883,0.008402316318659137,0.0011371268929054941,0.0681877481824879,0.00021464006639270868,0.004026494977511545,0.004222259061087219,0.03334516573363888,0.005622289216200254,0.00438432016319623,0.0018387927381843508,0.017412772882354644,0.003323153181134108,0.0012362334816105086,0.005109959898331505,0.0021418575405748328,0.0053538946436220165,0.00017406258562602058,2.9277116624220004e-05,0.010501601385405127,0.007284130489945682,0.007980428320250978,0.016390508122572638,0.0031286235009775746,0.004423967676000805,0.017318721296084104,0.011835461739932595,0.012062366191229516,0.0013915261043134068,0.028989205701288295,0.005579075070731684,0.0007988165570735666,0.0010127540097229785,0.00283342267092452,0.000639792561544202,6.278090322227694e-05,0.0008106554116224948,6.722056511355145e-05,0.013317663124859994,0.009632232402285137,0.007093500104612817,0.00432186466100449,0.01361014803439707,0.007896894778379095,0.00016302263637027679,4.757520101652552e-05,0.011484443479892525,0.009332714474719134,0.0046218511351150985,0.0022490060485595136,0.013210146899901068,0.0014258105455679936,0.0013390531647021384,0.007212811028015835,0.00016573456153432263,0.0001856170853611539,0.011993035214169638,0.00038323126603450567,0.002621761223939359,0.010831282151604987,0.0005433452192785712,0.0035522070870762164,0.009298149430869304,0.0019083260888115268,0.0035717872638743927,0.006871330323528945,0.0036622440192113086,0.022010321738670294,0.01166578950033013,0.0037668561863020756,0.015573892451606713,0.001650944306234957,0.004290014416677953,0.022172750247936617,0.0001349138172150992,0.004185074480784538,0.0005596413831014846
score_3,0.004104386726223414,0.004621712236598089,0.01870653893315931,0.0036304505489563287,0.006977054190258952,0.002133235946966137,0.018032824976735556,0.006010284500140718,0.010730063806427714,0.01291675648293746,0.012367421857034992,0.00251330013464824,0.0037364493039840083,0.0072574569780328125,0.004379074952125183,0.0020294141598503376,0.003766906472279903,0.005408452176507474,0.004653529190031643,0.01686692003808123,0.02362021658435325,0.013587381149401317,0.0031093489471654212,0.0020776474717758824,0.006562667402423535,0.001836616427515971,0.004806606329036432,0.008729869612308695,0.0030949752011697187,0.005054873046180144,0.006626893553914097,0.02314573640598784,0.05380912360824587,0.009843497605247423,0.041750129752487444,0.014646232504820247,0.00225503373467543,0.003543214722264713,0.011194704930346772,0.0024093890481121072,0.0353601531801379,0.0016136106904225589,0.011844426441185312,0.00046275680606257247,0.003600127386617719,0.004088300751185149,0.0015516785143503446,0.0013154053987954571,0.0027120292668281363,0.010220071562470403,0.0026329462540521965,0.0050567362021665405,0.0027404562206801205,0.003975108305139042,0.016137630103976716,0.005914274650783193,0.005551599996462534,0.04263956669835513,3.32257041617849e-05,0.00021248277424506937,0.008639262887234277,0.006731495311989415,0.004721910375982338,0.0022196615880369437,0.0036700416824268305,0.002353435133909712,0.008837711775942817,0.002869020442395713,0.037530154335517936,0.012661620666113666,0.02338845716324158,0.006670324559227484,0.0021424070756533176,0.000398713842404903,0.05588823706137676,0.0005239004076057443,0.003887820171774742,6.712958561720451e-05,0.0018295209384155446,0.019421130265872548,0.027517009599359668,0.004119973828133863,0.0027265342944654087,0.007956583768379454,0.005780366505630364,0.0013425455419068641,4.781813780408355e-05,0.007008876348998469,0.005150615508142798,0.008431896484016956,0.001386231449534632,0.04519758870162648,0.0006038692863494389,0.004224628784971871,0.006939264402017368,0.0036058216267964086,0.0005382369717355478,0.012716881664380857,0.0004050819855249171,0.002905820057218691,0.008463242671054012,0.0018672853984839995,0.002265870714951253,0.001836591410095319,0.000958607187456752,0.019204506061824788,0.0038195870378745175,0.027122320676121907,0.012617130647425633,0.002979166570306121,0.004593709438341824,0.0016474630874546866,0.0009252107418395065,0.001957992498194969,0.00233336272285112,4.7725841265479635e-06,0.003657577671161179,0.0004790241062124848
score_4,0.010550065339786443,0.008701444104948105,0.00723341370271124,0.021293509206252264,0.03756479568779898,0.004207444823095202,0.012500590075642007,0.008442851433908972,0.004982144826748141,0.0036669829709916417,0.01726147189311239,0.004888284894398153,0.007129212717218966,0.038093713163622485,0.01907937744197608,0.005521029806643628,0.0033472595741875053,0.005659668980336367,0.004881655657580581,0.0054053927286205365,0.004724404842453284,0.009664931953906128,0.003942480638433496,0.008413291187413963,0.010901877115666503,0.004836520976438746,0.0047394237218259016,0.024383967668889017,0.008661819457468531,0.008034878251102898,0.00551926543793633,0.0073304129787001,0.013849375363572598,0.02493121235290376,0.003692439508980196,0.019168597283083934,0.0030605886126620274,0.005475111480756523,0.019608966847331828,0.009434637558664376,0.008482834431561441,0.004198079675363507,0.018393569191317037,0.0006695306480544325,0.03000088882195918,0.00013447816306744726,0.001641366867641067,0.001393844158706232,0.025478230189444354,0.015402977467288796,0.0037142401512600194,0.006346631478005612,0.015775572856514323,0.006602152333309156,0.002024272386639678,0.008303440341190927,0.003092122465864227,0.0072119876096717675,9.304666956127924e-05,1.6770946555411604e-05,0.01583348013767391,0.00991075658023654,0.003349027383584703,0.00502663645612873,0.00521769241263951,0.005779361071087812,0.0037733528879061347,0.0019411644651356197,0.009775960664509215,0.0012357963934652783,0.0308675373077595,0.0073907210208803715,0.0002947500362562735,0.0003387499707076636,0.003549866153562301,0.0037497778313093405,0.0001255459596659632,0.00015398667563100925,0.0013058362969190225,0.010588108602695271,0.017050847504330176,0.0054690822637921644,0.003578177517780441,0.0069972538428426725,0.0067043932281204725,0.0005846296706948498,4.143967206911581e-05,0.01024261164595498,0.003988110482795395,0.006238939819992257,0.0008672708604558702,0.011082927044049676,0.002451731379540869,0.002655512370621494,0.024400295924097277,0.0014052823976840399,6.638067399519365e-05,0.0073915152432648045,0.0006652748906258985,0.0026902104549536383,0.005524715422395337,0.0011047139516507452,0.0012720396747477978,0.02018548770195893,0.0010915562141826586,0.005772819705283917,0.003696220780609111,0.010704361676660851,0.01075887906735739,0.008586436481840449,0.015935152747861153,0.03919177689160459,0.001565863571602616,0.0034066084675514682,0.04266238721895402,7.708977146632757e-05,0.002507145268434131,0.0014162010696773765
score_5,0.0067032075481105,0.012172994308992057,0.023104367738853323,0.0028341228339757375,0.008719393184146622,0.001890831563261353,0.01669069149530564,0.0037255172810855375,0.013152677567850617,0.009618141412125353,0.00969593046940541,0.007598121143851677,0.00986441060892165,0.02528755446048137,0.005958925538394131,0.002750404979763516,0.008264779820404085,0.006771256329895366,0.007013165463705716,0.00733793106831561,0.0195044844657446,0.018513089427945016,0.004465315433653796,0.007554855123824778,0.015582841415747227,0.014292208821220868,0.003912778577189418,0.022280926596446156,0.005455153684811201,0.003841838693948724,0.007718050884018065,0.004787197229958344,0.039185936053198304,0.022848440672668367,0.004017099206199653,0.019944888754635744,0.003109608253697562,0.007832136417374088,0.006825950165206151,0.004787172470624067,0.020375854550289667,0.0010535976724890125,0.006950582897110094,0.0005569124356077434,0.005978756757839272,0.000788877765117888,0.005961730325361896,0.0031260723412303982,0.004360967275727809,0.003223882425583635,0.007081055203043463,0.003062764568923225,0.010193586326800886,0.014889432097100625,0.010803739758879806,0.021068699799287927,0.0016207130683695934,0.012000515034681008,0.00010366048509590314,5.7677943675305176e-06,0.01192393050843234,0.02694213254725849,0.003136829227573981,0.01847424637355845,0.003242227252441861,0.00412205231193231,0.0069656991771726885,0.0040870498340927226,0.003913148405194334,0.0005837404540114884,0.01877138932973086,0.01197705343389786,0.0022765086640907455,0.0006164536242434849,0.0030467637518175284,0.0018499463196013813,0.00010667039997424404,0.0002240487920901174,0.0007297631853325549,0.027252621456217,0.008101310213705441,0.012159336261397488,0.0036810067909037094,0.008957403606872992,0.0019168866997908709,0.00014504110541342676,0.0002749656563986151,0.021491972784675295,0.0024413978395004354,0.010667265220893233,0.002425492843145714,0.0055867728346599525,0.00011790570573044894,0.0008889645425124186,0.007724336737902501,0.0008228668392906245,7.331102578240257e-05,0.012644655217447147,0.0005657621192217566,0.00352884465784957,0.02311545319653146,0.0007886429291230663,0.00571316840838201,0.002054557106394081,0.0025808380874592996,0.004851252603416687,0.002163751792104587,0.013361377689500346,0.05580692999148554,0.005437186467177915,0.03183214629078147,0.016691778131007223,0.002501011655525609,0.004729342596076953,0.0070885052923194145,3.362343619598905e-05,0.005062469732273125,0.002908625094621844
score_6,0.007920659449630153,0.01335019623884012,0.016553942216635472,0.002789421454688905,0.00421249957192414,0.008688750671251489,0.019944653311860277,0.00725422414247583,0.0044468132472896636,0.004506506394931528,0.0060700124961574784,0.010817777709594795,0.0034390533531781053,0.027458105051770584,0.005188623938407774,0.003496615745318022,0.010891634841017458,0.007284601035080954,0.014021750042103279,0.008687709679338575,0.003668151964174452,0.01936536385046812,0.0038418112875178065,0.00489661717319512,0.033297561191597214,0.007649401430391552,0.0007536808194733792,0.012666345282181536,0.004492730537517693,0.004007103908634372,0.006179939479697067,0.006064159991922075,0.0482145014246947,0.004918810998175152,0.00492324550408155,0.005387999031571763,0.003870750409719788,0.007597670368096521,0.0033169514444899373,0.003680416830647524,0.035201888807928454,0.0011425699159115581,0.010092558646200482,0.0009046872720424213,0.008830569028730952,0.0007711688619977671,0.002842472304383454,0.0033688859335268876,0.0042957591952455755,0.003000135870918881,0.004923155104119414,0.0010579050811759384,0.005769596599777073,0.024907165093467833,0.012037225184875397,0.023523716028828367,0.0013374125077712294,0.027102153247718676,0.0005067916993974767,7.323443639862338e-05,0.002507562233194915,0.019740196356060676,0.00702170598290127,0.005164108524079447,0.004605364899533415,0.003996097404827938,0.0070830668976376385,0.009368309150554983,0.0033682641867994047,0.004724990190372672,0.008669831623639218,0.011347524770284957,0.00010288341773737114,0.00019358453816263016,0.004749735269395123,0.0015808349356658377,0.00020452742289707988,0.0001548918171105869,0.000147881283131074,0.03689265210845003,0.011601290805359024,0.009473307417119787,0.01057214696246874,0.013063516089706743,0.004452521383103118,0.0004426474105105,0.0016085765539144267,0.01942679278877253,0.004636477530097077,0.011987917828550954,0.004234351994152301,0.010229764937107595,0.00014837536756170483,0.0011319558331967412,0.006804852994412328,0.003396313861929254,0.0013543928182583114,0.00778803824593476,0.00100966234151486,0.007061989866298673,0.0037835999874509226,0.001977343221669713,0.005926139194573652,0.006468677612487014,0.0022576225057044275,0.003447223060279133,0.001718558548797283,0.005867806354940632,0.07849415692172557,0.0027035880362476132,0.024668076142600453,0.013203852814224737,0.006313751670056435,0.0013110466973286757,0.021630928989290612,7.171638740472533e-05,0.009169732564141934,0.0014314589085123676
score_7,0.00858198399413088,0.007834018080366524,0.023697083597893995,0.0034614713697358043,0.006454780441982231,0.0013503538977760353,0.015263593734829235,0.005906778012052534,0.004305369019100833,0.007643520731033723,0.007785851913482865,0.007756303196444273,0.006379421382713815,0.017128868682695815,0.007061954645836946,0.00835530587973675,0.014314027422055193,0.004824138514985149,0.005871061706359725,0.009194471670296816,0.011210455781401925,0.016808450125322272,0.006399123314159397,0.007110372834338422,0.022908129687469952,0.011005057589426053,0.003344281568928177,0.03773663770709844,0.005500333903189287,0.001982686154136434,0.009201125561685002,0.002484452588031393,0.05515932345578094,0.02272993374872322,0.002987139382590643,0.02258580085747443,0.001511140198584081,0.005873786729696315,0.009716035093232968,0.0023379718540713448,0.019226028372083384,0.0012019581544152177,0.006751361603303518,0.0009911899119168695,0.004943474014927911,0.0026670252030511943,0.002583893586626782,0.0021294193522575157,0.017284754257898247,0.003269693391881534,0.0013058392840177133,0.0030702102228671643,0.01012751007275984,0.01389597042143823,0.029269203867210176,0.021964528140867932,0.0004148770641903137,0.024649270752023396,0.00016535483385356843,8.540450615327382e-06,0.009796135620056443,0.023979338615335605,0.005254895165091826,0.012751782749433293,0.007406578297958538,0.006275335708034535,0.009964550356488407,0.008313544241961601,0.005706764994355689,0.001964480334445427,0.011415674958123345,0.01813367939258278,0.00031071267912743017,0.0006487223058923167,0.0038914328656592815,0.001108066374774122,0.001483706139595934,0.00016034086066129082,0.0003886244451219799,0.013993053461801686,0.018327370409538437,0.010514512819192853,0.005569830843390451,0.006311086799738542,0.001093079412551213,8.750652495739847e-05,0.00027282854093622607,0.015020946157816517,0.0025311772128745655,0.013670269523516765,0.005177818741412553,0.0081854305650576,0.0003832810638683822,0.0008059347492372481,0.007882003624123819,0.006082419071259986,0.0003221967932291662,0.005656329907631367,0.002380585274158526,0.002895025962388522,0.02456904366845296,0.0008141951124546219,0.003928160691027934,0.0023771843924330362,0.0018123361746040817,0.004958057635128348,0.0013093443245111094,0.006334374277560984,0.04539597884830121,0.006899096510874979,0.017148086536231476,0.011421203295469088,0.003663152669049142,0.0016373576018116846,0.0075020983707929905,8.415089839380776e-05,0.005141930508955885,0.001204495933509194
score_8,0.004780860641937526,0.00683948674043945,0.043137687863401615,0.014695611076701493,0.029087999732310577,0.0015945515424067272,0.0300353285566507,0.017878582819178403,0.00857945319169637,0.005021554736961971,0.010361360465048425,0.00544226873947369,0.004886680948322336,0.020572785089206704,0.0029297986590250996,0.006204444156621603,0.00994584130509311,0.0044624314173146475,0.0052154590291304745,0.005205645423041588,0.03723244649315374,0.02116558998575215,0.008161671174435088,0.0029286099693491326,0.03210619500302434,0.004552699806805816,0.001801467422094431,0.007819157165152104,0.0039881309878194255,0.007620442336546083,0.00399217784279494,0.002860586663447239,0.027616109817563118,0.008413109930081092,0.006431600219776678,0.0061231647727937825,0.0028007570877599457,0.007332434897130465,0.015234227939465942,0.00363767729437863,0.008673140320948099,0.003341243254633519,0.006564744721324868,0.0014000167612000533,0.002262243546462679,0.0028888595085398484,0.006973852604869036,0.010885039992701222,0.01110405328744177,0.006621694190391676,0.0013183230035849743,0.001370639694720193,0.006294196165107293,0.01728000703447431,0.007607596637590891,0.023711301058419672,0.0033850263011135804,0.0059594915931786875,4.31250726007199e-05,0.001103882064926815,0.003587978323168688,0.009047041265467553,0.006369979282667398,0.00931831515050221,0.0031877180410119247,0.025534344836388848,0.021853027401009747,0.020936906019488583,0.00833667356464017,0.0046269142638902866,0.006648804062333873,0.006727794790904125,7.126523600608921e-05,0.0018838279334001903,0.010213818172269185,0.0032254128035353333,9.970492311928462e-06,0.0006543293619969607,3.813743676797335e-05,0.030393337128376365,0.0024312996365740505,0.006166391068279142,0.004737671043196901,0.014815608888989565,0.0128117805077629,7.261127694619398e-05,0.0007226923112423043,0.008753576148955736,0.01619543065434612,0.018239450434562612,0.0013696574287838123,0.009312403289003568,0.0004688412893889623,0.0006279965858599404,0.019864404954999162,0.000201561513435141,0.0016097022600495294,0.006124337736729216,0.003310923317417775,0.003235138839869862,0.0012619381485910175,0.000537245582323296,0.0028385701133912897,0.0029933843384618826,0.001153415260820465,0.003044210364688096,0.01081281116275991,0.013617366335006315,0.026453143199771236,0.010740297449678965,0.015421030203605813,0.005793563462911362,0.002749014365679512,0.0020676494351892253,0.008709092077426948,0.00034150640838484975,0.0029065539689354467,0.007337567612327929
score_9,0.006118121565682365,0.005122551310287834,0.022154783456205637,0.009605849242375005,0.004712632323087534,0.010731324258161127,0.014623443168288956,0.007886293731404911,0.008077683004690903,0.01242790347749266,0.012402700675358777,0.04198766098386462,0.003185907351518052,0.004673119184821188,0.009815328991149978,0.0011388604510779296,0.004482573723679779,0.004031419935009536,0.005235143733735977,0.008693011208272245,0.012615900251293602,0.03059291493937125,0.007991307169995451,0.003898528594358736,0.024956565527435845,0.00418463012860965,0.0006964020451978656,0.018922816390709654,0.01969040271183324,0.005181222623182653,0.01481498553642321,0.014109683986743766,0.011046322732105979,0.004152764321670292,0.0024494895721840814,0.004060826776621609,0.0011459622053925191,0.00627744527373626,0.0033475856597283975,0.0032217309967678717,0.008556476222464663,0.001431597341315951,0.010317800692057255,0.0005706823012052521,0.003220141547538121,0.0026372818643839763,0.021979564655736368,0.0013397521576261463,0.0068798791382357095,0.007623618781470181,0.005458695003013775,0.002511638177176597,0.006348999494650036,0.008988258836606073,0.12230249212015283,0.007997821714703634,0.006160939506630169,0.0022219978144749405,0.0038398832568105807,0.00012307533276899256,0.004152872936199174,0.003599318221329517,0.0036629430664890826,0.004641074988552168,0.006109055403524535,0.011908341640353554,0.009779017280254975,0.005232330843920602,0.00834671846519616,0.01838781345978459,0.007020853264229347,0.010214173583093402,9.170449180611042e-05,0.0004661755652671199,0.007377922741341728,0.0012021423421513435,0.0023152073612223868,0.0006207665096767638,0.0005127152472019411,0.05346014376291943,0.004748116495330197,0.005499325150281055,0.005401049133764495,0.037335329213247934,0.004395079039872066,0.0008040447396779965,0.0034823032591615763,0.011105799022265862,0.015440983185053032,0.0033151915474297325,0.0017456136876162942,0.016065017947139413,0.002206735916108723,0.0039176433470182416,0.014642047243679231,0.002473731767622454,7.385523109445467e-05,0.004873401590329383,0.001980930446423468,0.0020844904673441985,0.01119224447728358,0.0011556501559372451,0.0025376128463693495,0.005247234555882459,0.0015041295641272095,0.005692089904430255,0.0010440586302723684,0.004333556903210019,0.003275350198087659,0.002220137838803934,0.018452718049797288,0.004472965270096716,0.0034030251736666428,0.0009792249999007075,0.0016886160318487534,2.457038841271983e-06,0.01031641830926382,0.000816135268658482
