,Phocaeicola_vulgatus,Bacteroides_uniformis,Faecalibacterium_prausnitzii,Bacteroides_stercoris,Phocaeicola_dorei,Prevotella_copri_clade_A,Bacteroides_ovatus,Alistipes_putredinis,Parabacteroides_distasonis,Bacteroides_caccae,Bacteroides_thetaiotaomicron,Bacteroides_cellulosilyticus,Akkermansia_muciniphila,Alistipes_finegoldii,Parabacteroides_merdae,Bacteroides_eggerthii,Phocaeicola_massiliensis,Bacteroides_xylanisolvens,Bacteroides_fragilis,Clostridium_sp_AF34_10BH,Candidatus_Cibiobacter_qucibialis,Blautia_wexlerae,Alistipes_shahii,Eubacterium_siraeum,Ruminococcus_bicirculans,Barnesiella_intestinihominis,Phocaeicola_plebeius,Dialister_invisus,Lachnospira_eligens,Ruminococcus_bromii,Ruminococcus_torques,Gemmiger_formicilis,Dysosmobacter_welbionis,GGB9615_SGB15053,Lachnospira_pectinoschiza,Roseburia_faecis,Bacteroides_intestinalis,Clostridiaceae_bacterium,Roseburia_intestinalis,Sutterella_wadsworthensis,Odoribacter_splanchnicus,GGB3293_SGB4348,Anaerostipes_hadrus,GGB6612_SGB9346,Lachnospira_sp_NSJ_43,Phocaeicola_coprocola,Rikenellaceae_bacterium,Paraprevotella_clara,Parasutterella_excrementihominis,Roseburia_hominis,GGB6613_SGB9347,Bacteroides_faecis,Escherichia_coli,Clostridium_fessum,Coprococcus_eutactus,Roseburia_inulinivorans,GGB1266_SGB1699,GGB9635_SGB15106,Prevotella_copri_clade_C,Prevotella_marseillensis,Ruminococcaceae_unclassified_SGB15265,Blautia_faecis,Dorea_longicatena,GGB9758_SGB15368,Blautia_obeum,Faecalibacterium_SGB15346,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Ruminococcaceae_unclassified_SGB15234,Blautia_massiliensis,Candidatus_Gastranaerophilales_bacterium,Bilophila_wadsworthia,Flavonifractor_plautii,GGB6608_SGB9342,GGB9059_SGB13976,Anaerobutyricum_hallii,GGB6601_SGB9333,Prevotella_sp_885,Clostridia_unclassified_SGB13972,Prevotella_stercorea,Alistipes_communis,Clostridium_sp_AF15_49,Bacteroides_finegoldii,Lacrimispora_amygdalina,Clostridium_sp_AF36_4,Bifidobacterium_adolescentis,GGB1681_SGB2313,Odoribacter_laneus,Clostridiales_bacterium,GGB3746_SGB5089,Ruthenibacterium_lactatiformans,Bacteroides_salyersiae,Coprococcus_comes,Ruminococcus_sp_NSJ_71,Clostridia_unclassified_SGB4367,Bifidobacterium_longum,Akkermansia_sp_KLE1605,Akkermansia_sp_BIOML_A40,Collinsella_aerofaciens,Parabacteroides_johnsonii,GGB9176_SGB14114,Roseburia_sp_AF02_12,Bacteroidaceae_bacterium,GGB9342_SGB14306,Ruminococcaceae_unclassified_SGB15260,Ruminococcaceae_unclassified_SGB4191,Ruminococcus_lactaris,Lachnospira_SGB5077,Lacrimispora_celerecrescens,Clostridium_sp_AM49_4BH,Alistipes_ihumii,Ruminococcus_gnavus,GGB9602_SGB15031,Parasutterella_SGB9260,Pseudoruminococcus_massiliensis,Streptococcus_thermophilus,Sutterella_SGB9281,Clostridium_sp_AF34_13,Acidaminococcus_intestini
score_0,0.0032732064135407536,0.004587716058449894,0.006997464781538969,0.001594770824911021,0.003457452563147081,0.0025270886350454956,0.01311821779264902,0.002999687149178258,0.0042615290366941425,0.002698796174270542,0.003423442878895321,0.002649485555923727,0.007990678553679265,0.007097099125633765,0.0025344014299634177,0.0012053272464822575,0.0051151126449492604,0.002882668339425383,0.0038096235055749476,0.004163275589525652,0.0038417919488543677,0.006851704974551348,0.004678360901981327,0.004512184015746716,0.012646185834621978,0.003326606327201784,0.002131504430573314,0.00815869531196372,0.0022314289792490253,0.0017409300595309161,0.0028156062663391708,0.002977726666079097,0.026790401109038558,0.0023993985749963392,0.004166468836317018,0.0049333896251584205,0.0028747228791810198,0.002576134032290228,0.0025655079066239745,0.002323038363753768,0.012471893009458513,0.001458253812220179,0.004083980265730313,0.0010187266872959387,0.0015394209925354944,0.0013476912621521648,0.006307037819203337,0.0031522505056789394,0.0024621463894542953,0.001843195474902444,0.003099359539652237,0.0017069812833028159,0.003543127114163451,0.009842871320804582,0.014788790829541687,0.010856133666535872,0.004876019395525089,0.005578921121854045,0.00017002536169349132,8.420939823745733e-05,0.0030528404284167776,0.01179041964248078,0.0015226493142770556,0.007102555205591143,0.004614496165183266,0.005365730962955541,0.004258280637854333,0.0014359016308281806,0.005822913513367567,0.0031620548314361136,0.006883863996355949,0.0042733052883847395,0.0005802676303714179,0.0009544079273163906,0.0018394976765738463,0.000588581607927401,0.00033955946966416365,0.0009318265432568646,0.00020872642425531567,0.008183936609593557,0.005124752870433336,0.004887722477785835,0.0018865419706452897,0.005728182965068256,0.0018820614146415873,0.00015411897527399233,0.001113545020083873,0.0043852334788548756,0.002958587684816706,0.003705018558730176,0.0013615756496818253,0.0025875346333408024,0.00019447511521440323,0.0008884417907110272,0.005299969338870622,0.0009053901019810671,0.0006111852765562567,0.003337920525168396,0.0007275224656900867,0.0034557655090056783,0.00677963719223498,0.0010217136926376049,0.004451937751003082,0.001994860132427429,0.0011096017973667117,0.005076029137905762,0.002249553957639471,0.0035415029475611795,0.029230546076901134,0.0040884009961975705,0.012331714467682121,0.0022788113306813408,0.0035985981563960174,0.0031623653857335166,0.0029664085311730203,0.0011250403435759037,0.0020026106688959167,0.003154112240710431
score_1,0.020747281122674228,0.02128385280587056,0.038660962588604686,0.020880406259296363,0.03621164745317632,0.010067868280771356,0.045001295556231544,0.013049888993419233,0.028885751197889702,0.015573226515042874,0.016241008396518847,0.05950860901597506,0.01910862089470726,0.04262550039074189,0.012197375187044427,0.010786510646071473,0.03984003051267275,0.02714581684737401,0.02394635527120045,0.030681218597661736,0.018166436368339884,0.029363451250584576,0.04855202073133935,0.01623278011042229,0.04607510333252598,0.02973423314586338,0.015091078894610368,0.06976182189267287,0.014765730709348508,0.006950172313738617,0.012178304287114946,0.008771419918856091,0.10218697725066027,0.024245453110451436,0.024010630150597262,0.0776439388045698,0.0074606131665340865,0.017023596328507626,0.03223790848915005,0.0358058549080175,0.052501221163543686,0.007395125961894166,0.01747473229780911,0.005940599511391373,0.006330827306960196,0.005778663008341152,0.017371537371083944,0.02201816549843809,0.01938862815583532,0.014886526713044882,0.0038304905751097864,0.018111958905364448,0.023134532075119084,0.04133305028399293,0.037489342073048305,0.029326947277185295,0.018437345889853934,0.085646282362263,0.007038939062613198,0.0004351138298020795,0.059769586140889105,0.06590748204229402,0.012473167081995435,0.04809701827681164,0.014175970711611403,0.02699548466927754,0.03019568770879947,0.018475905179451992,0.023389321897045335,0.010562240794537145,0.05590290514323384,0.0156195345740279,0.004329289299118426,0.004620432878644056,0.007837763882035038,0.004561406682213046,0.0014862524578874029,0.0007484253880686397,0.008167384110972306,0.053718282418068135,0.046234414919729176,0.06518326262927716,0.01619177014511196,0.03767380351062755,0.006997356162148573,0.0005811167088465134,0.0015140309200074183,0.02830412328066274,0.015492882486082897,0.04304229839200838,0.013237752714822632,0.01294470247332358,0.00242648574319458,0.009905502897868004,0.04831795487823863,0.002466619795935757,0.001375240103492816,0.030961435875996528,0.003242181500928587,0.020902837454034883,0.08367853202924123,0.007900104276352508,0.037413284055529794,0.0074026192119076625,0.005407877903935461,0.009205539914929292,0.006225467859724914,0.03739370929185711,0.09645058444770659,0.02551236053749086,0.04394612738828719,0.03334655899418626,0.022827906672344297,0.024246709253495775,0.014283088656512129,0.0004026228295522232,0.0169237778177553,0.013665574251576777
score_2,0.011842280596649423,0.009049193808153144,0.014386460749830467,0.01297853056656076,0.0076288074945349135,0.012456271589987617,0.014437507999618356,0.01461004740513509,0.013224622696527522,0.008702301506397567,0.017684264175498732,0.011908071812689209,0.004729888328028431,0.040565293911857564,0.017295761469458132,0.0030967693086097906,0.005857826950982427,0.005098529994480742,0.012474440528245753,0.0186131814165127,0.004291863599764779,0.024398577150192505,0.015482121073725475,0.006472970692070508,0.018468462048046867,0.005502329489933715,0.0032204285301305063,0.038218882148014284,0.010889860163319175,0.006177110772840153,0.007633013085354774,0.006514594499151925,0.02484128634285138,0.036398688140316285,0.003974402379514636,0.030108568772154874,0.002490961907282587,0.005884893112488403,0.016099797175281604,0.006914136268852403,0.009579166511630877,0.009885146979067377,0.010069761747531696,0.002256119624724146,0.07330142020679922,0.0005310291844470654,0.006335922319731215,0.006239881533299772,0.03676232480440796,0.006656688318253614,0.008256928839663774,0.0033938146129299475,0.019147872665770442,0.004146613008144218,0.0019033430917977398,0.006295881594884275,0.004061717500358817,0.0067817967045809766,0.0010661710493988618,0.00010243969774110003,0.018260615140463364,0.008832384493260683,0.009116702492797479,0.02147223973864554,0.003995721354498155,0.0057148431420910376,0.020714797143770988,0.012924877545874907,0.0148414264483346,0.002311708802217102,0.031603306303491945,0.008240381988561023,0.001591464194294565,0.002642233370079915,0.00350479853407476,0.0015529421154531471,0.00015957890336238233,0.002683357922278185,0.0002778266665688798,0.01411991676285551,0.01326628381715735,0.008863872238282946,0.0049648684798094,0.014782087305088355,0.01004984427569221,0.0005059353709334901,0.0002024319988552056,0.015275413458413064,0.009998720302351386,0.006796677659122303,0.004167264445878555,0.013868211037472314,0.003028277089457307,0.0023468731989729056,0.00887298896516518,0.00042199314016277744,0.0004714460238338743,0.016224908627912236,0.0010013442296771852,0.005620657549346269,0.013041236693722431,0.0022363333892043377,0.006603003069210503,0.011015418317676065,0.0029454398055956013,0.004784395574672676,0.010199605781201914,0.004569846526129904,0.023217986414385834,0.013357649629449207,0.004887360034823292,0.017175445006307893,0.0031007412322384222,0.009609996841029998,0.03254092139534113,0.0006417586671995054,0.007226578952570541,0.0015524517494228608
score_3,0.0009110044584882118,0.0010959135387791543,0.0036256518351573254,0.0008607706930190119,0.0015269945925083692,0.0010989170623954575,0.0036550614485641154,0.0013361010257952157,0.0025020237507597533,0.003925314163039915,0.0027558201938944643,0.0006508055211526737,0.0010725078964005691,0.0015601100579853598,0.001092870766901501,0.0006672053376795722,0.0009434718080282147,0.0013435205276216223,0.0013074933543105757,0.003776265019600814,0.004745962020147913,0.003383441852614469,0.0008045681762645294,0.0005116835074651415,0.0013669202523579336,0.0005173824955846605,0.0017209853462859211,0.004083345915094906,0.0006975363771057954,0.001428789363147868,0.0015818958591464558,0.005383925143208548,0.01114336626046367,0.0020198619679967743,0.007973922745539791,0.0030966837071903877,0.0006647528397093546,0.0009015106900613486,0.002817468042277135,0.000813617002388252,0.007531733078657322,0.0005665310450185436,0.0029467001514760865,0.00021535591254626888,0.0008156269567738493,0.0015253078841853144,0.0008577456239562482,0.00047594293950532454,0.0006392870152299053,0.0024555520917702183,0.0010245268842076236,0.0013917114333393975,0.0012999180873416952,0.0009232732700719092,0.003987738954508866,0.001328121790864068,0.0023301730083187767,0.0106227460894242,3.196653674345566e-05,0.00012298548941477432,0.0023854947125497034,0.0016269977037793122,0.001082536549009353,0.0007039280765946337,0.0009976550089837437,0.0005639291799211372,0.0021934636387298924,0.0007432041302455794,0.008092546856942958,0.003574238943121148,0.005035597480572391,0.001364767318874142,0.0011302862211146681,0.00021707009613638784,0.01223054816290311,0.0001967063454395049,0.002033595282257456,5.150200300500444e-05,0.0007928527452327478,0.0037947305501353774,0.007449856978725,0.001147083582903522,0.0006511273884596683,0.002194655732893427,0.0013353199826600123,0.0009004408683617356,3.736175069629684e-05,0.0014772676494876592,0.001191287934442054,0.0017877382969179265,0.0007091928089360172,0.00922762723614348,0.0002898875381722765,0.002117831099183525,0.001685417744092799,0.0012209429900255754,0.0004962674293226239,0.002694601902579423,0.00016329908099158206,0.001045275277133455,0.001928229554799302,0.001087867984061881,0.0008678275467687566,0.0005677083135722506,0.00030938830536799506,0.004108619947742453,0.0014015309710736874,0.005816979953188466,0.002621997336412349,0.0008601099300662632,0.0009781814645288436,0.0005468535182658778,0.00029889498459668805,0.0007239119125292324,0.0006700858294774046,3.7383383193808337e-06,0.0009034240508043927,0.0003246680720779148
score_4,0.0019955949114925844,0.0017729213893315295,0.0012279543896203942,0.004005286210195435,0.0059789361211380326,0.0009325105738374887,0.0018261017626883815,0.0019691151281232442,0.0010497529238729926,0.0007907700955633637,0.0026721603859941306,0.0009401742158859692,0.0012792574147217788,0.0056065771971036136,0.002945815414546819,0.0010469743699712166,0.0007813601382465129,0.0009596712769812295,0.0009103149224497839,0.0008864016860719257,0.0007764033235433763,0.0014443229054234305,0.0006207001410113436,0.0015076926389846251,0.0015655402360486316,0.0008557658446304669,0.0012195786504700286,0.003678951657555606,0.0013185722399601469,0.0012242122169378333,0.0009062913412997737,0.001172602101471194,0.0023267284210310817,0.003453214539725588,0.0007607347408673525,0.002839487484212257,0.0005905831761663369,0.0008893866239583528,0.002787195896235133,0.0021000780014534402,0.0016657006110417526,0.0008859459953842857,0.0026644598679884247,0.00020280690318861167,0.0041699984335748915,4.643159151259187e-05,0.000446176642458607,0.00030353101202551617,0.0038355987365720893,0.0025971541726613552,0.0013792402349556852,0.001108835558634639,0.0023383008328154205,0.0010361378495906293,0.00041592631074121423,0.0013336077878857685,0.000773125750053731,0.0012587448751475588,6.735707924661277e-05,7.746776713343643e-06,0.0035800276504371646,0.0017084642637544315,0.0006926121317831169,0.0009585429867738482,0.0009868931485555873,0.0009694586873985914,0.0007519311974460019,0.0003433994078887545,0.0018065621984008887,0.0003844659106508018,0.0045327572074837326,0.0016190900011081235,8.590169481602143e-05,0.00015871079164253452,0.0006352156240873116,0.0010198688926039922,5.8968306509610216e-05,0.00010810443551263733,0.0003876890104006019,0.0015328075890136232,0.0028302622199747325,0.0009905094783954735,0.0006650192605729757,0.001029340582891449,0.0011628956593931878,0.00025325075948638703,1.6429438687524656e-05,0.001602593208873042,0.0008726724063587537,0.001256923640319313,0.00027554545404265474,0.0015703361076636153,0.0006301764487536852,0.0006205561852522593,0.0036210073553112777,0.000409507748734424,2.515877377884933e-05,0.001503336900606005,0.0001817040562540157,0.0008641560197432662,0.0009886785557974512,0.0007694113570372168,0.0002850383715944502,0.0032314042707398453,0.00026686035539363694,0.0009407910729956285,0.0007479878402180135,0.001589936991395756,0.0015229554982726216,0.0012773731430358935,0.0021952181499902963,0.005808005848228477,0.0004895325658159571,0.0008928826280123558,0.009836887832779017,4.150871574025451e-05,0.0005691005288919686,0.0003401171072999979
score_5,0.003076683236921244,0.005348573058637166,0.009680674778954847,0.0014895672941334034,0.0052286012305875285,0.001665472287670737,0.008304962471523627,0.0019215786598904712,0.0058658236731374104,0.004008866420195382,0.004610221893324979,0.004555688792958669,0.005487236929249347,0.012784568004034479,0.0026678108510154396,0.0020064308281848293,0.0041319819303038486,0.0033487686333111668,0.003668716305707348,0.003462235846098271,0.007849450391308261,0.007511525729466783,0.002120209383826654,0.003289718222275935,0.0063392613095125065,0.007509017612098323,0.0027620526327872944,0.010917110911237456,0.002534211236413959,0.0018438134845677047,0.0034612277895362206,0.0021512299004536454,0.019379378771124705,0.009166995133127577,0.0018936190552342235,0.00827053741216959,0.0017166042680978764,0.0039963841093835495,0.003242960898669262,0.0021960391428854794,0.009057941033835575,0.0010360370103585002,0.0030617548902713105,0.0004827973948460082,0.0027051263968585334,0.0006129898298432768,0.00380346312269789,0.0017989358767023485,0.0021435164411712886,0.0015140848186573853,0.004527273185320262,0.0018438144884574247,0.004861500090814438,0.006048776158058524,0.0045152897980188286,0.00852187837974583,0.0010964265178083927,0.005889897458876558,0.0001459957756110868,8.875129516982971e-06,0.007110262668243222,0.011878138877154823,0.0015261515599605615,0.009497099941057397,0.0015097166719029499,0.002013583025331467,0.003075833196714107,0.0018395327062202772,0.0018349214929330856,0.0004352850264959375,0.008147635641226255,0.005186281210547434,0.0017650884020564727,0.0006308948109422347,0.0014228674917394289,0.0013439678806671453,0.00011999207798840896,0.0003329603921190611,0.0006203830102307155,0.010824904571692186,0.0040643340655863456,0.005625627937479514,0.0017661785304937288,0.003908968323662641,0.0010989122329021583,0.0002062254508320693,0.00031741421020609436,0.009210291907826547,0.0015619663334295961,0.004473968050588076,0.0015205085269252296,0.0024628398789318883,9.544626857737678e-05,0.0007948430998749606,0.003666619135125526,0.0006413736789103008,8.505524474641017e-05,0.0051227675779719015,0.0007011302137972395,0.002699647051513532,0.01067978060928274,0.0007275929293074186,0.003713057464126982,0.0013953282155409036,0.001365739041589398,0.002189759764086809,0.0015368827196111268,0.005288528730919988,0.021534898355858305,0.002516945467331296,0.012908362782091632,0.007074613434578045,0.0018104529841999172,0.0036820306562005017,0.003218594679955914,9.774899598738427e-05,0.00240069580470733,0.0030286407090956984
score_6,0.0034153229317828784,0.004577404813795412,0.005513244820145115,0.0011697588997626454,0.0017989337093442096,0.005700971919434494,0.008567715648824062,0.0030797055604745,0.0017311554173400183,0.001602949257797611,0.0024395149106440335,0.006366637928516343,0.0015409132644248966,0.012948463171813349,0.0019682621364351884,0.001545876250767609,0.004342634395562912,0.0035884724137753713,0.005491155482239762,0.003166420802434674,0.001481407973485883,0.006488597728880046,0.0015791172965952545,0.0017830379306722798,0.01017064721376053,0.003535333757640854,0.00045926067911668554,0.005619915008821378,0.0016184108712525456,0.0014905299312002584,0.002073567948717876,0.002099873522755206,0.019750210985325457,0.0016419916364573527,0.002298125264265798,0.0018850305583307768,0.0028558591675211624,0.00262865598263975,0.0013186112717535226,0.002005923264497823,0.011626916032955861,0.001198652809317236,0.003451213280252561,0.0007253529786604905,0.0027861544071032746,0.000434867177094555,0.0014196018528510959,0.001408064022474121,0.0017271360664538045,0.001243223867003129,0.0030914967510999956,0.0005651522646278412,0.002608504098326595,0.009852128855600288,0.003932549732058163,0.007572608281776635,0.0008125697107687161,0.009973083254470381,0.0004659489289894521,7.403470733176188e-05,0.0014761318675363532,0.007333905844267383,0.0027782848559803,0.0019444548158319063,0.0018295689180084025,0.001592773358670817,0.002519690109356609,0.0030388202005443804,0.0012272325153136858,0.0023240632647430048,0.0030122175956551096,0.003766892009973233,7.456882323835796e-05,0.00015231916697248013,0.0016099906151116406,0.0010492283181224413,0.00017404751140115093,0.0001957359623093101,0.00011535264983714521,0.011186264599079199,0.004449375150641155,0.0035096309636287208,0.0034620746778338996,0.004219154182677279,0.001820206490023451,0.00043121642115017333,0.0013663470399221174,0.007112820834556954,0.0018095727614269783,0.0045900207848634505,0.0019184062219411002,0.003274418771962809,9.906421785161445e-05,0.0007516555651277041,0.002486004891593715,0.0020121110290468682,0.0009089642827191623,0.0026113814728669915,0.0007184824379676991,0.004656594960488394,0.001597666841837065,0.0013694971215606395,0.003246856399406883,0.003017390530435337,0.0010044677292535048,0.0012583592821618767,0.0008768672464766966,0.002255350038920425,0.023333750389670994,0.0010507344843051986,0.00802058477240374,0.004403490824528996,0.003264219941768577,0.0009988895925568944,0.00800396204103735,0.00018776394377552225,0.003095417840433964,0.0010946528970946887
score_7,0.0034950419429585515,0.0030353766832307326,0.008779642798157251,0.001598053164948255,0.0025614509042715555,0.0010662332549716417,0.006745944822277368,0.0026728415304741963,0.0017795442971034444,0.003363563084712448,0.0033925511914446095,0.004459143672755993,0.0030649790142856822,0.009096401216254275,0.002672211428274904,0.005167031854828256,0.006162139028489671,0.002399185149039037,0.003442253559850923,0.003770890514853102,0.004023614834371766,0.006282695991291983,0.0029632257607069977,0.0027646838121464833,0.008075433124999797,0.004969687669893958,0.0021026739192060613,0.01758765905057144,0.002179881756106063,0.0009571497990454867,0.003597024682878686,0.0010956515795863383,0.02237631232086725,0.008405383085168762,0.0012466382071572447,0.008354405167059955,0.0008224836289662706,0.0029495312101138708,0.0038776495433775113,0.0011046302784659227,0.00744410574238891,0.0014847087536539229,0.002668391440461732,0.000836461248172489,0.0018675739029290594,0.0017261010406461794,0.001608902285699252,0.0010643679459122358,0.006390852138805959,0.0014252666256564265,0.0007936605548935107,0.0014864275642904802,0.0043500832909999,0.005823270184837659,0.010662930820325506,0.0077966966825350785,0.00030977088119233054,0.010384801393238306,0.00035123479571918105,8.176738513620814e-06,0.004517432463720434,0.009266622540129532,0.002192354074240599,0.005928738879521376,0.0029985140917734017,0.0031256289546553817,0.00411354827891537,0.003079583031257225,0.00232566364411161,0.0010963380127243065,0.0042263106652340515,0.006509482418924341,0.00023081620609080917,0.0006257882830196586,0.0015042523180417075,0.0007924573932144684,0.0014369995515914138,0.00023396572958978338,0.0003359387936002545,0.005143275524419976,0.007963408583202458,0.004329048690035587,0.0021474586474848185,0.0026328490926714365,0.0005119143668594147,0.00012687586236228852,0.00027169638039752954,0.005486720142866842,0.0012461210610828467,0.00505118414365022,0.003227034949467834,0.0030677292189824155,0.00030411977026113135,0.0005803848323458143,0.0031109512968891715,0.003723615743164663,0.00022082945468590427,0.0027904709953317803,0.0014748575983864836,0.0021793512820933434,0.01019870645675216,0.0007972578385570309,0.002227684588333804,0.001350533679621335,0.001093386845176584,0.0018843202168849623,0.0008770708291078198,0.002404452114676595,0.015701930843335626,0.002814768722094218,0.006037931807004987,0.0044790627278873995,0.0022603122451470567,0.0013541358903567723,0.003113286738184149,0.00012758602143956327,0.00225062253277351,0.0010219146283938576
score_8,0.00044926265053799253,0.0006869814908193737,0.003557500428290413,0.0013168733502108806,0.0023126797843742537,0.00032777512610025213,0.002463841539207392,0.0015452398367793037,0.0007753370284360015,0.00044630559161143256,0.0009669112902401337,0.0004946385778644218,0.00041647923225699714,0.002701182991316163,0.0003109668787674441,0.0008812568850942688,0.0010213173290342,0.0004265807729195094,0.0009782314862150274,0.0005959928814912353,0.003183921015882207,0.0017607675269726087,0.0007162067146417682,0.0002877904152606807,0.0025352040365849413,0.00040216298714524284,0.0005499132383789962,0.0007735522973293157,0.0007552375996000026,0.0006741846310088116,0.0003663793197974488,0.0002898253541469556,0.0030055555426303673,0.0007192640847112092,0.0005720833302993571,0.0007417924585209738,0.0004279023946495459,0.0007166486586211203,0.001227197041195106,0.0003504205327889081,0.0007585568183789829,0.000751849333604061,0.0005911789945488984,0.00027501693216896105,0.00026133355620259823,0.0004392371631374355,0.0009399671949802562,0.0011524310909859486,0.0010062846581441198,0.0006110182954438798,0.0001956322826997822,0.0002620973940012582,0.0008297084143566194,0.001681376068700603,0.0006449196433719171,0.0019680163422440937,0.00047533784603759756,0.0005945599480974633,1.0715274237800112e-05,0.0003242572459939551,0.0003443571418354701,0.0008440775542746625,0.000657499619318733,0.000995023898155095,0.00032045464442996145,0.0023057241373987533,0.0018534214753248165,0.001928354967896095,0.0007459361068927814,0.0006665737516467835,0.0006729231217325018,0.0006812503521669874,1.4863677973365816e-05,0.0004067033570021304,0.0009477308734098227,0.0004545591820172782,2.518388663423488e-06,0.0001590105969504493,1.535930710523761e-05,0.002656443631495328,0.0006947760697847078,0.000586769964149492,0.00048757249707309365,0.0013932949166227595,0.001143330325999854,1.7624220473341816e-05,0.00014280702189490267,0.0009870021517845123,0.0016009449706537826,0.0017258188255896958,0.00030227036524312306,0.0007735072042953768,8.2602827524887e-05,9.506516285465786e-05,0.0016594845316952299,4.246035998341185e-05,0.0002935437759592496,0.0005380670290577079,0.0005835481589849573,0.0004116185996497734,0.00015795336930301735,0.00010506401327159935,0.0004136687717296781,0.00033909366198351504,0.00012355548410054304,0.00036977747104117927,0.0012710528219986338,0.001089923538586629,0.0020867987408901404,0.0012050395730452306,0.001357770136577757,0.0005651972298188123,0.00040873740331688147,0.00028522203340091757,0.0007547672120022946,0.00011018106560052838,0.00029889673613254256,0.001582491582149074
score_9,0.0005694536866043441,0.0004573109077302964,0.001752603352510841,0.0007947685637966058,0.00044194827707935783,0.0014067593552377225,0.0016309297637574682,0.0007842725456014146,0.0008070135436470935,0.0010912415484946826,0.0010316074494492729,0.003263901256588816,0.000326207625106567,0.0004242425834181375,0.0010981682863162958,0.0001685603045294976,0.0005374805746230582,0.00036210366176275436,0.0005326074344398587,0.0006983486389706044,0.0009822179423786127,0.0022971568309562663,0.0006654613686585965,0.0003923411590981846,0.0019779924995657673,0.000500534630346732,0.00012888024699470903,0.0015812561881342108,0.0015244719959988527,0.0005479990536367619,0.0012355757506525295,0.0010804278580565218,0.0009894516050905052,0.0005364229402466767,0.00021899374066613458,0.0003609288443252828,0.00013905926959636037,0.0007213251196871844,0.00033089587007199595,0.0003790583130192135,0.0010339007557866888,0.00027108700093754506,0.0008954614773366125,0.00016703379709708685,0.00037472158533173616,0.00035653071479526825,0.002639673431189591,0.00017182177680447852,0.0005770442762473547,0.0006159272532365379,0.0006742853193412462,0.0003874608467949192,0.0007198874064211982,0.0007750613844111858,0.009473621850208102,0.001136568888085721,0.0008521585949950293,0.00030147644249079494,0.0013512167979192198,3.769390654042421e-05,0.00039744350960727016,0.00034571799871616657,0.0003947316918173491,0.0005663385235347048,0.0004913853249469708,0.0012475250315576096,0.0008784688773207905,0.0005028803784287443,0.0006640893623580631,0.003329221559000301,0.0005887894397179418,0.0007959797892178404,2.1467976029099057e-05,0.0001260420468665121,0.0005903050437909719,0.00017117779149109782,0.0006009788521096945,0.00021541123567496773,0.00011341275061824607,0.0043579954274774995,0.00047887778265113314,0.0005262510404066622,0.0005010330486026306,0.0027356564619851298,0.0004335412034539144,0.0003053843842833955,0.0006309785775290087,0.0010056794847546542,0.0012619411000070436,0.0003003031152803929,0.0003458315663141487,0.0012601724330984089,0.00026216788999328355,0.0004994510244560604,0.0010852043154540583,0.0003284764514122095,1.754181145227894e-05,0.000450282771717855,0.000348404370084512,0.0003075711483230193,0.001011048966501259,0.00019629178531065225,0.00032334780203845196,0.0005306629783689571,0.00026208810484819095,0.00048502941610787124,0.0001417205230928828,0.0003979559050873084,0.00032973232647120256,0.000302075597585569,0.0013927587834951264,0.0005766297084762119,0.0004995159290809426,0.000189810347127024,0.0001745408231560136,7.26016720809481e-07,0.0010003666145246791,0.00020360996043417514
