,Phocaeicola_vulgatus,Bacteroides_uniformis,Faecalibacterium_prausnitzii,Bacteroides_stercoris,Phocaeicola_dorei,Prevotella_copri_clade_A,Bacteroides_ovatus,Alistipes_putredinis,Parabacteroides_distasonis,Bacteroides_caccae,Bacteroides_thetaiotaomicron,Bacteroides_cellulosilyticus,Akkermansia_muciniphila,Alistipes_finegoldii,Parabacteroides_merdae,Bacteroides_eggerthii,Phocaeicola_massiliensis,Bacteroides_xylanisolvens,Bacteroides_fragilis,Clostridium_sp_AF34_10BH,Candidatus_Cibiobacter_qucibialis,Blautia_wexlerae,Alistipes_shahii,Eubacterium_siraeum,Ruminococcus_bicirculans,Barnesiella_intestinihominis,Phocaeicola_plebeius,Dialister_invisus,Lachnospira_eligens,Ruminococcus_bromii,Ruminococcus_torques,Gemmiger_formicilis,Dysosmobacter_welbionis,GGB9615_SGB15053,Lachnospira_pectinoschiza,Roseburia_faecis,Bacteroides_intestinalis,Clostridiaceae_bacterium,Roseburia_intestinalis,Sutterella_wadsworthensis,Odoribacter_splanchnicus,GGB3293_SGB4348,Anaerostipes_hadrus,GGB6612_SGB9346,Lachnospira_sp_NSJ_43,Phocaeicola_coprocola,Rikenellaceae_bacterium,Paraprevotella_clara,Parasutterella_excrementihominis,Roseburia_hominis,GGB6613_SGB9347,Bacteroides_faecis,Escherichia_coli,Clostridium_fessum,Coprococcus_eutactus,Roseburia_inulinivorans,GGB1266_SGB1699,GGB9635_SGB15106,Prevotella_copri_clade_C,Prevotella_marseillensis,Ruminococcaceae_unclassified_SGB15265,Blautia_faecis,Dorea_longicatena,GGB9758_SGB15368,Blautia_obeum,Faecalibacterium_SGB15346,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Ruminococcaceae_unclassified_SGB15234,Blautia_massiliensis,Candidatus_Gastranaerophilales_bacterium,Bilophila_wadsworthia,Flavonifractor_plautii,GGB6608_SGB9342,GGB9059_SGB13976,Anaerobutyricum_hallii,GGB6601_SGB9333,Prevotella_sp_885,Clostridia_unclassified_SGB13972,Prevotella_stercorea,Alistipes_communis,Clostridium_sp_AF15_49,Bacteroides_finegoldii,Lacrimispora_amygdalina,Clostridium_sp_AF36_4,Bifidobacterium_adolescentis,GGB1681_SGB2313,Odoribacter_laneus,Clostridiales_bacterium,GGB3746_SGB5089,Ruthenibacterium_lactatiformans,Bacteroides_salyersiae,Coprococcus_comes,Ruminococcus_sp_NSJ_71,Clostridia_unclassified_SGB4367,Bifidobacterium_longum,Akkermansia_sp_KLE1605,Akkermansia_sp_BIOML_A40,Collinsella_aerofaciens,Parabacteroides_johnsonii,GGB9176_SGB14114,Roseburia_sp_AF02_12,Bacteroidaceae_bacterium,GGB9342_SGB14306,Ruminococcaceae_unclassified_SGB15260,Ruminococcaceae_unclassified_SGB4191,Ruminococcus_lactaris,Lachnospira_SGB5077,Lacrimispora_celerecrescens,Clostridium_sp_AM49_4BH,Alistipes_ihumii,Ruminococcus_gnavus,GGB9602_SGB15031,Parasutterella_SGB9260,Pseudoruminococcus_massiliensis,Streptococcus_thermophilus,Sutterella_SGB9281,Clostridium_sp_AF34_13,Acidaminococcus_intestini
SAM000201_tp1,0.0040098055998052905,-0.002812559903830234,-0.0016744325476526101,-0.0016050034959124672,0.001486369580711236,-0.0002807883964350379,0.002215676676702121,0.0010952054692237993,0.0005101767967943373,0.0006971608151706836,-0.0030671894683899255,-0.0035891070241671546,-0.0013046011872064867,-0.0038940065995678465,0.001241669744464675,0.0016630915485012407,0.0012794529618235346,0.0010611733859145088,-0.0013477190670166828,0.0025454237376663818,0.00490640785731123,-0.00636064917087067,0.0001881637746955095,0.0030147885541837384,-0.007332240805778612,0.021833059328483544,0.0007438749469860314,0.009778651227156925,-0.0011690676401949897,0.00023733935934172831,-0.003173774422239114,0.0007314304266094305,-0.013921581249130734,0.010953935639732208,0.0012754895465551155,-0.0001536088394850264,8.443735927780974e-05,-0.0009482073359788154,0.0002492945118183125,0.00012666158058727473,-0.0034538167333583347,-8.062325620026539e-05,-0.0028079770284279233,-0.00010512886948045133,0.0017123929775184133,0.0006726373065535956,-0.0005670069597446057,0.00042895992139257793,-0.0062737797710868655,0.0005341214510627716,0.0001297270531532583,0.0005245659781241335,0.0026266938699325056,0.0008599224179779783,0.007563865315510199,0.0036511079913005224,-1.9146825884349288e-05,0.0056106216661585325,1.669758042163428e-05,2.4215240389022525e-06,0.006427293579029178,0.008665570678681438,0.0032577738268074526,0.003208192224270725,0.005836071749618159,0.0017948182154373994,-0.00026130898036138856,-0.004894524968134355,0.0002699289250414751,0.00024112771418922634,0.006298768704560849,-0.008545274070586861,6.243264458782278e-05,0.0001388595871457169,4.7672712727353705e-05,-0.00021769760124791033,0.0003083478859726478,-1.113776718593756e-06,7.734993050920976e-05,-0.005206776129769064,0.003557222730508379,0.002230183051636356,0.0016371865423757137,0.0019816817891025428,0.00022368551603666817,1.374797280671634e-05,-6.666554735115766e-05,-0.003448543301575204,-0.0005138825566044949,-0.00630021039951439,0.0015370182802034935,-0.00492765319530177,-5.060140548919161e-05,0.0009698475953663178,0.0033016224687814023,0.0013823906547715847,-6.29219410651867e-05,-0.0006526067240715757,0.00033396551610479966,-0.0007940866271039561,0.0062674271315953,0.0001542601023111865,0.004194269290087073,-0.00048164021321167437,0.000372720985607542,0.0013422949674823522,0.0015668602695876534,-0.0010889285674568893,-0.016989904462379374,0.001378424310021477,-0.004492188655893396,0.0030806050182986306,0.0007344894399406843,-0.00030284291195310667,-0.0017598839504427567,1.4322411807934322e-05,0.0012887298983178886,0.003752846107116828
SAM000201_tp2,-0.0011614107359626984,0.0032109553772732115,0.00567546881693385,-0.0008660576471088029,-0.0022826262962525926,0.0006530026877966819,-0.004526415884465829,0.0007402438571527168,0.0008238807824596171,-0.002057060232513651,-0.0006857779768076419,-0.0027992861609443405,0.0009817892735906352,-0.003094869363337355,0.00024001139883610516,0.0014869628247088722,0.002192275779860875,0.0006547164244822091,-0.0013424267772654244,0.0023210862525096373,0.0021406000803305654,-0.00855900193916654,-0.001082960332262817,0.005892040650296895,-0.0014709700185488903,0.0013379578888413218,0.000584818698069264,0.008064144571558312,0.00036761395941097214,-0.0005515201241616792,-0.002542775719640109,-0.00036497891392529803,-0.010700589862648793,-0.0054878070286599545,-0.001067875864691654,0.0032707203666627565,-0.00015013139543709872,6.30246148498942e-05,0.0019050165601560876,0.00047801437985135677,-0.0018285941653559824,-0.00011578655203763264,-0.0007075108483185676,0.0007472756087082643,0.0018639398302112053,0.0006018775266720554,-0.0006785541656806347,-0.0016636921008968118,0.0017476422083746407,0.0005394335146035896,9.342616240232628e-05,0.0004142619306652187,0.0024934187380450325,-1.7250658113525992e-06,-0.01820126811478709,0.00968393744870144,-0.00013235456288551882,0.00543680977048918,1.702925809652605e-05,1.326968795276657e-06,0.01424583155973315,0.004180611610697827,0.0041790644989344984,-0.012959750125196337,0.006923139180305614,0.0024258684400970047,0.003665608590523448,-0.0002863528064186987,0.000108779286151451,-0.0011623253652507676,0.0025660439704102856,-0.007912625949450868,5.8202070283445604e-05,0.002263418012294327,-0.0007819310225815819,-0.00022232304406953095,0.00033602002867166034,-0.0009292048087492844,8.465863457506363e-05,-0.0014937082227572396,-0.01318663831652766,0.0025150409320667116,-0.0014477808106018654,0.0026167540158206506,-4.504019844329339e-05,3.685806918408748e-05,0.0023649644935295057,-0.003786331552630977,0.0002056512635827297,0.0001165813149110484,0.0015252786963669371,-0.00204201464877382,-8.622457878757685e-05,0.0016782641330824188,0.0013529494454336565,0.0013046388051471444,-5.668315629447449e-05,-0.0010393412164229712,-0.0010818256309811573,0.01351024129661248,-0.014323548478703964,0.00016849724814190225,0.009425014494292032,-0.00034893779672455787,0.0009115175333012844,0.0012884830571440805,-0.0003394677645506654,-0.001418576903879902,-0.0005906991114916124,0.0018423951543635076,-0.0047285108828384595,0.0029828468907333833,0.0006342332708824611,-0.0004424149710542745,0.002096118398025196,1.4350945743373484e-05,-0.003723981006205372,-0.0002870533713251106
SAM000201_tp3,-0.0012092329881122654,0.0022527127064351665,-0.0043189882677874426,0.0011335824042010994,-0.0009356074163352134,0.00011154724252173885,-0.005001919312958929,0.0013247452361962334,0.00185651108893143,6.707418806072224e-05,0.0005769180944928254,0.01172229663151827,-0.0014004331349422045,-0.00320211604638567,0.002502935878227451,0.001295124443683547,0.0024796365908807956,0.0012731378077980456,-0.0007182571305028979,0.002017967648141619,-0.0017555994554926066,-0.006190738562114127,-0.0006243377131328675,0.0018808181275308275,-0.0033925893354991295,0.011565404547324703,0.000859202148114973,0.007266298603465398,-0.0003217101487816071,-4.5426339881495576e-05,-0.0013329837425834442,9.47822501708275e-05,-0.012601501571735795,0.004005427265637733,-0.00071911350119592,0.00346979224256315,-0.0002729218255138083,0.00870462871762769,0.0037043383255238216,0.0002472495306375524,-0.00012698134407068706,-4.0256756253553306e-05,0.0015970939945126523,-0.00026416729287765203,0.00036641246948675344,0.0006955662370157939,0.0030883574690880994,-0.0009590306815630913,-0.0003825362854974477,-7.103048388239896e-05,-8.890345296725317e-05,-0.0014538402974696987,0.0026859655486217524,-0.003904017058878239,0.0077563571798927615,0.0015544332785189104,-5.533636494566782e-05,-0.018652357590477932,1.7272625396665512e-05,2.184178825933612e-06,0.013226020494617418,-0.003258584032427086,0.0034939539995133416,-0.011967165962046849,0.0067386402770217915,0.0018678804995470887,-0.00775595644370497,-0.004027133685749939,-5.455847905937018e-05,0.0006812376630870418,0.00229326748436278,-0.0077300821880196165,5.772740928508639e-05,0.0006359382199719489,0.0007624008808039287,-0.0001770103901550171,0.000359890415073557,-9.21030179295769e-05,8.407541586106066e-05,-0.0006015396168834167,-0.015383752202648539,0.002442475834739594,0.0001916240877104478,0.002326041940213538,0.00017810334929357606,1.0927220410316743e-05,0.0010127393741106688,-0.004121953386178606,0.00030724784247488035,0.003830423986733167,0.000883753957554008,-0.0016490915818704746,-5.408634548501467e-05,-0.00045756880811071766,0.0021122198263772755,0.0013001771429516414,-5.050148655379342e-05,0.0029475159053508797,-0.0010359064945565572,0.0040488147492910185,0.0026849528427088814,0.00018079095908610644,0.010141985248764465,-0.00045141722709012304,0.0007321991325019088,0.0014478488756690777,-0.00026991291835824196,-0.001018069437333893,0.012387145153836314,0.001051931610988207,-0.004181371543580421,-0.0037010685139273495,0.0007118567523998342,-0.0005016268618392073,-0.0011095901551403562,1.5159394469129889e-05,-0.00224246770988234,0.002212556675957218
SAM000201_tp4,-0.0012911523241315676,0.0038095323851318513,-0.004929475042479899,0.0008866550010038489,-0.0011710936973426424,0.0007155436742728251,-0.0028158172769580407,0.0010924201863316409,-0.0008976508928995288,-0.0007460692116583488,0.0012332598122731884,-0.0017682741076956957,0.0005324550983992595,-0.00273835177384083,0.004862195013747652,0.0013393509950715787,0.0019154677264348213,0.0010585382509436473,-0.0006291413577534789,0.0027612113792657433,-0.0016621056922025512,0.005063388458058927,-0.0009352225477873272,0.004396588066736784,0.005224247830125903,0.022396331994889603,0.0008097394147711369,0.008179445225764838,0.00013438199115557538,0.0008970540699078418,-0.000964027801887059,0.0007347733813684201,-0.011918049062842844,-0.0053134147495160055,-0.0011374273213806498,0.0013410087018186656,-0.00010582212266020472,0.0016007127229953114,0.0010758139704205184,0.0003838783211813585,-0.0028062422268380315,-3.735738825209013e-05,0.002212749530288719,0.0009133272924109542,-0.0004469120066204259,0.0007339962776127926,-0.0005686846545969413,0.0007893289553568902,0.0007180674278655895,0.0011468715479352274,-0.00013816769275462867,-0.0012177995728930204,0.0024165509005714203,0.001165223923171753,0.00944082724607036,-0.0066298173394463535,-2.3447704546165716e-05,-0.01933902255064431,1.7382595764217406e-05,2.8642030694557266e-06,0.0035730153891371445,0.007591463795683186,-0.001170147899587131,0.00343270533790701,0.004999765204140414,0.0014554209209656041,0.001091200192373069,-0.005288897853904487,-0.0005432172356839315,0.0006712912841064926,0.0057176498957182895,-0.002735499389275487,6.068604829004194e-05,-0.00014399785289781478,0.001777659476472483,-0.00011423160516468717,0.0003172333998544039,-3.1355918770344905e-06,8.381926934035544e-05,-0.001944397875711361,-0.012935383066926265,0.0026704526561416265,-0.0006088523341680909,0.0026124034429317023,0.00018686196629531075,1.3721242746633104e-05,0.002309410741068975,-0.003396653038097427,-0.0002278540352306893,0.00386162453873156,0.0009522921965736047,-0.0028103790344425213,0.0002849003557714434,0.0006565974830838976,0.0016580277596106516,0.0014895081696913288,-3.730403441168615e-05,0.001112320754541322,-0.0006026041233546301,0.0033154571738941607,0.00033929934764153507,0.00018566124770545006,0.008268696210995819,-0.00037564707205061775,0.000832857125068432,0.0017659073455525516,-0.0002798488683388768,-0.0012718773420957283,0.013976614389330613,0.0022418693910905155,-0.004531871904760585,-0.008819319825960154,0.0007587822042581422,-0.0003508875539738993,0.0016392947550864997,1.3738290266376105e-05,-0.002580309877537436,-0.00023142177667832088
SAM000202_tp1,-0.0006531964886615202,0.0034968372509914863,-0.0050123732320557154,-0.0018003147501904485,0.00022326325807835168,-7.817016151170128e-05,0.002767511654043789,0.0011615776894235612,-0.0010770054673323638,0.0008469543978970346,-0.0018938650370365856,0.019515703899107367,-0.0007790827671231951,-0.002460489813324114,0.004028006884885435,0.0016530107152755102,-0.010540186276416277,0.0008367309542543877,-0.0008827577067306253,0.0038343517081532784,-0.002279719096585845,0.00361346198102703,0.0071044576240252635,0.003587434156370177,-0.0035624804532814304,0.0026159426055527846,-0.0029029335488568535,0.0028805979392817916,0.0003386539574317324,-0.0008339232793652397,-0.000534671563563308,0.000527174186615032,-0.0056904270164471,-0.004225955409475397,-0.0011273695000625676,0.005038398572009745,1.4820414468989444e-05,-0.0011076597064345938,0.005510579306196579,0.0008430528268874507,0.014107403582033495,-3.136021847410531e-05,0.00683036920298035,0.000994697502159626,-0.00041340186168832164,0.0008950849901239995,0.003017208794179347,-0.0002560474246254021,0.005400210026681668,0.00032025224051495494,0.0005277229602620344,0.0004941076773490538,0.002432358667644674,0.007616478521105959,0.007820626587017999,0.004977378476375663,4.2894428839378414e-06,0.006731847588594263,1.4671978147688427e-05,2.5865237008854706e-06,0.003349757438900543,0.008920529259920361,-0.00032756305631538536,0.0003861505472656155,0.0018994414487126024,0.0020295275715741606,0.002901644452938877,-0.0028948340833003946,0.00013893939905600735,0.0002217160787353284,0.0005006274679954411,-0.0017003874658195813,5.976793020602379e-05,0.004899401526300282,0.0007138127701243371,0.0031363204830047913,0.00033591148158650786,1.579072038209981e-05,7.791513855528937e-05,-0.0026480227766767683,-0.010569145572251448,-0.0038389109984378962,0.0033173066406489643,0.0015002587796221977,0.0011067119642247348,1.6577798008517343e-05,-5.1897311841182686e-05,-0.0036708515713751886,0.0005530551338547047,0.003595992027583642,0.0015060739687543098,0.0018795118450644068,-4.818898052727413e-05,0.0001122608074564811,0.0017041545319151162,0.0014880455000781307,-5.5627709919160595e-05,-0.0001875949969975157,0.0003906400134934786,0.013286757048827489,0.005106260582914044,0.00016046603035284855,0.009014621124648806,0.0018002087221604885,0.0008775987528009766,-0.0010512251096538986,-8.390106268876695e-05,-0.0018555438561232629,-0.01827961715605691,-0.0005712902312838122,-0.004108410424458914,-0.006239634838073477,0.0006076962492271884,0.0005652846799447714,-0.0011058985707249646,1.4594568785918319e-05,0.001368869991465016,-0.0002855835587953012
SAM000202_tp2,-0.0008204349008761285,0.0023401628435294965,-0.0042098018978443666,0.0014357951233956868,-0.0003196658439474013,-9.124099368045376e-05,-0.002922001012253139,0.0010617021394168926,-0.0008990571448493937,-0.0018714376495166099,-0.0006336843790505172,0.014044069802794143,-0.0002578437053879602,8.426801334571082e-05,0.001114079458911349,0.0015764371431266106,-0.00953891170429239,0.0007794197336640758,-0.0011128554271643328,0.0031087008359430126,-0.0015313770359367811,0.000861182462961629,-0.000141203716669331,0.007411006356923052,-0.0013854630632523922,0.011895058623097145,0.0007435759508868917,-0.0009677829262021683,0.00022026364997164552,0.001241051334143288,0.0023969097932107068,-8.848233459127192e-05,-0.01246167319588925,-0.003364242906524099,-0.0012670031839907313,0.0047576993607552345,-0.000256073533640183,0.00043967722531300076,0.0056765812820146,0.0009564234072487757,-0.0025121604495821227,-2.2839921360834157e-05,0.00629849095746972,0.0012202230580358566,-0.0017561431508208091,0.0008071444975777497,0.005639081444476787,0.0010354390560609785,0.007364717399905107,0.0003420136860737772,-6.508754534518892e-05,-0.000640700542730078,0.0026127555642911373,0.007371557054909613,0.008887326747164599,0.003021427707289085,-2.9252673732816414e-05,0.006153805319718804,1.7496931619646875e-05,2.6533868889135714e-06,0.003354971973172603,0.008987178630098059,-0.0014074296755915213,-0.009335293229421731,-0.001527407903224028,0.0019898976378593418,0.0033169016190253532,-0.0034729359600177163,0.0022675369905431515,0.0003312797300075357,0.0018391460148212647,-0.00715454962342261,5.48698616697528e-05,0.004736966352560101,-0.00037822091542306674,0.0013267017804484372,0.0003203487272099631,3.0625461788893354e-06,7.929465718734158e-05,-0.0016990456898057157,-0.012145154680765784,-0.003242102195956121,0.0039872347797695815,9.486886913348397e-06,0.0006240778151738777,1.2745376255819382e-05,-6.540412530933302e-05,-0.004278281375847146,0.00047616716995356245,0.0007189047419685181,0.001373132593754351,-0.0025335098126641024,-8.935753259875297e-06,0.00014641249623773413,0.002294206496635251,0.0014277142660317902,-5.44904645311112e-05,0.00015247969110512364,0.0003723752353547565,0.015078467415651975,0.004572896229333803,0.0002010896992903723,0.006620697761777262,0.005904181148462165,0.0007565803957504104,0.0005303676936991238,-0.00015251718372775585,-0.0007566851038760947,-0.015540919321483873,-5.023687271741742e-06,-0.003985954509720299,-0.006666676628629106,0.0005342160343578086,0.008314598696939433,-0.0007769556098270878,1.3572502851605656e-05,0.0013820764293488788,-0.00030029210931187543
SAM000202_tp3,-0.0007296953616508734,0.0038542606247994253,-0.003729653332410178,0.0017048477693940637,0.0006120036746719446,-2.6561057057611943e-06,-0.003935116799114007,0.0014489876532145912,-0.0013566985627780674,-0.001605824275278746,0.0009990655922190884,0.0003127920971435504,0.008384639850696193,0.001957659566896952,-0.0022440103144713472,0.001576211984738494,-8.269830831054483e-05,0.0014178834414707048,-0.0008363886932310629,0.00413068888335519,-0.0005901649926119444,0.0008207013297334199,0.007954322404399507,0.0025203656609866605,-0.0027019659306611087,0.011771182681967125,0.0007781673351520541,0.004587785299991873,-0.00010290803270526242,0.0014272966465307844,0.0067414682542963796,0.0007884203681721045,-0.002667503932113025,-0.005273110705262429,-0.00014748928407263523,-0.0009489346783820438,-0.0002599918630943394,-0.000918704497743679,0.004991838177152808,0.0009364555013798957,-0.0028024484761147057,-8.412737141071821e-07,0.006322111294657622,0.0015534075753933735,0.0004518249870890207,0.0008790305759530243,0.009487619556475221,0.00019164231688696077,0.0038408239360470764,0.0004247890918956062,0.0004807776849161674,-0.0009815723785578624,0.0032395817409363987,0.007243641218975686,0.009240697973340269,0.004777231538994606,1.5756335356576086e-06,0.007028736768754682,1.820793735628483e-05,2.4171259126153136e-06,0.0037313966234357432,-0.005770119820926825,0.0004175771551900967,-0.009628202827197086,-0.0011865736922516657,0.0020540577796025663,-0.005640937417848736,-0.0037361471774158407,0.0005433679234803144,0.00039447986660551027,-0.002089351282202985,-0.004387428319310794,5.793696496394748e-05,0.00029980354223199603,-0.0007622132363479482,0.005152183674556884,0.00032381250953458297,1.086520324887332e-05,8.451098963270906e-05,-0.0018190214276858534,-0.012440937789065125,-0.0056306500341823705,0.003027065611036409,0.0007609525407422543,0.00024201479176972344,1.2762657150037578e-05,-5.4352794597822474e-05,-0.0035818673938564855,0.0005801815599285341,-0.0006117053900425349,0.0011973577266500474,-0.0004618063933929228,-4.240629320469267e-05,9.93886779019903e-05,0.00163778529996485,0.0015197688288664934,-5.5510989511151465e-05,-1.1921107781378864e-05,0.00041878471886391176,0.003539241628247102,0.0046906905073728035,0.00020405593636088303,0.001915815511998977,0.004595696019115014,0.0008044957717386103,0.0017397946510133754,-0.00010490763489628378,-0.00044038711095390463,0.005343240873988197,-0.0017347433078663422,-0.00392757158857087,-0.00639857334901203,0.0006013464839359161,0.00866804708935995,-0.0008307673305237437,1.4081086091530378e-05,0.0012557518419296129,-0.00020221159414996327
SAM000202_tp4,-0.002730485564328811,0.0019018097043512067,0.010880223402068219,0.0016435035365274927,-0.0018500274684688078,0.00041194795999516297,-0.004126121519630977,0.0007927061459116436,-0.00043394201021314347,-0.0011920398920645175,-4.9710951959066314e-05,0.020103827330645214,-0.000622091999417453,0.03063196949450421,-0.0014880046811290531,0.0017635875605434659,0.0025762599420342727,0.0009292360661699057,-0.0006535649299393565,-0.000527840095215487,0.003882342048690073,-0.007578273042580484,-0.0004688772105168483,0.007388658984014869,0.006655234330053371,0.003560361257989838,0.0004905042258619358,-0.007662825509108413,0.0002748518675313358,0.0011445520576533728,0.0004734634394854276,0.0001633095131108437,-0.015232482077678515,-0.008194229185972825,-0.0010038222501357727,0.006589540632827497,0.00020787080275864352,-0.001222628909628376,-0.002013795409448215,0.0004072115073494694,-0.001667042284890259,5.586309088041024e-06,0.0034421862230987078,0.005505211406300301,-0.0020359813254397434,0.0006775046089486222,0.006065511114371876,-0.001726175184038293,0.007264268009715551,0.0006458021591643115,-8.065735376599248e-05,-0.0011592024375849358,0.003384165306280242,-0.005468160427110405,0.008801751025335208,0.011898808491929811,3.268426115085756e-05,0.007217054993994787,1.943931393671141e-05,1.3164411014001775e-06,-0.0013559409184052558,-0.01090527309607075,0.0035497858569251734,0.0032873087267723754,-0.0010689013066847294,0.002824578263912231,0.0030803563284978047,0.0024517516648204186,0.0038409317712112937,0.0008392079969498664,0.0021243528873972177,-0.010182794547003332,6.209133883035409e-05,-3.49734166918967e-05,-0.0005492873442924453,0.005528022551891155,0.0003596276518469816,2.9105088492766215e-05,8.645580680822929e-05,0.001498527510181594,0.004712724334575739,-0.00824376180637685,0.0012653188760843818,0.002319792405049095,-0.00014510336262909716,1.423275518519282e-05,-5.240394721407221e-05,-0.00327267834182009,0.0008996022091090195,-0.005567317586745018,0.0012234037160352834,0.004545544756838326,-7.989628233412073e-05,0.00012480044523029499,0.0024543972374424946,0.0014628705978550394,-5.2654111802768894e-05,-0.0011389429929419713,0.00047977855782827206,-0.0006755460513124156,0.00580293226426194,0.00029878147459699763,-0.0007041785241923161,0.0005438446296315926,-0.00036021905504558696,0.0016630697331714512,-6.219728672442521e-05,0.001244528346310129,0.014648551547041738,-0.0003389309404827765,-0.004159223445295709,0.002941983181886733,0.0007421650040181063,-0.00032320513811987005,-0.0015564433658355602,1.433693452634662e-05,0.0014673207125605028,-0.00010427144792652148
SAM000203_tp1,-0.005521000030265582,-0.001654861501597553,0.013444563809008003,-0.001827550247042807,0.0002332787876537163,0.00019910212489338447,0.009519111846055693,0.00027434952022477413,0.0008869957141255384,0.0013566401259694362,-0.0012996753221149579,-0.00021916372574265448,-0.0024453716123760422,-0.0027133440090302747,0.0012859547526578744,0.0021096563711650086,-0.013596643154647859,-0.006839169714729703,0.0003140824709516312,-0.003575702004533074,0.003953545242364083,-0.007581244049135826,-0.002262383577015974,-0.002026884026072644,0.008543914413763377,-0.002121886903231603,0.0008889430214355626,0.010447786771121636,0.001886602738652471,-1.1725812560133632e-05,-0.0031041752195384914,-0.0006373281098462497,-0.01766990884736233,0.009865099925262537,0.0005920347135846867,0.004807403788595065,0.00044562133383742845,0.00698020451922369,0.0021589599077052905,0.0004242525526623097,0.010978857586095604,3.657454356783223e-07,-0.0018137197386501583,-0.00011773077319596792,0.001032790985855046,0.0004950570683437979,-0.00045543798953101263,0.0004294441713804597,-0.010377410226964597,0.0015665927363697706,-0.0003227475509357709,0.0007494898855724348,0.003596912675629298,0.00787687460274887,0.006933150998160723,0.009520664464946413,3.0342608815585326e-05,0.006128690282927888,2.012775075907918e-05,1.8345815268260762e-06,-0.001887320423384178,-0.013876001833805971,-0.0025917811441381776,0.0027373841755590693,-0.0008586759771081431,0.00198909085706515,0.002469146998252299,0.002085512439942416,-0.0027744776239261642,0.0007243367478173446,0.0038855286795656824,0.006224467846028204,7.801190306037628e-05,-2.830216742476918e-05,8.245449209822109e-05,-0.00018451535541441307,0.0003165297085177141,1.40795493580385e-05,8.627230814553391e-05,0.004946430318198198,0.0038381241925570736,0.002610586544812447,0.0031727579795823514,0.002171268466476524,0.00029258224605329135,1.305029755139784e-05,-4.8785536046347137e-05,-0.005499220969742743,0.000619722771872585,-0.0015178749883256962,0.0007948655133753024,0.0002601941987740973,-3.8689945458212305e-05,9.987348263157538e-05,0.0037833593444300505,0.001048650763978436,-6.223351166495066e-05,0.001983809072695569,0.0005459728301391064,-0.000355226055698016,0.0053055445881937235,0.0001879698994626174,-0.0005732504811280571,-0.00028320691764571407,0.0004816027318708096,0.0011775387196274827,0.00029810220632935764,0.0015742909969574867,0.013561786529831659,0.0019141473823365803,0.007771554245006783,0.0023898962830056028,0.0011961027040426136,-0.00022325152636255098,-0.002572398983958612,1.4313612748940812e-05,0.0009189175183186403,0.0001958312850655446
SAM000203_tp2,-0.005251277379316679,0.000159466797078456,0.014028830166956816,-0.0019449466428882176,-0.0011242690784362503,0.00017245333009815788,0.009782276152316274,0.001476438704208744,0.0005885100141059112,0.0006590820128071594,-0.0011858109486529327,-0.00020239598688186433,-0.0023447045535543646,-0.0027381565319339564,0.0019826203965279273,0.0021328892732629372,-0.01415197509699596,-0.007145887169588464,-0.0018068987349376916,-0.004035084436758053,0.003984904971710762,-0.007140935926552656,-0.00010587677245412645,-0.0018552837570086028,0.008583009450938596,-0.002222624936720728,0.0008901403542907728,0.010474754546065914,0.0018292678323537357,-0.00014199534665249,-0.0032874791296875422,-0.0006733267639753974,-0.011660028613764332,0.009665513154862035,0.00047078563747722334,0.005032296734489318,0.00046932793983146635,0.006930810853754681,0.0023804460514634876,0.0004852035419080242,0.010849660785047933,-2.1926620599273333e-06,-0.001623544660950603,-0.00011356241949710941,0.0010265381262016748,0.0005005786160096167,-0.00044033808715159494,0.00047124417274002585,-0.009912600539437115,0.0011715321870692374,-0.00031215610764133076,0.0008222354501271425,-0.0007715742894994432,0.01083599359210689,0.006861777130600761,0.008979561605897147,4.26364658722344e-05,0.0059801061782658585,1.666384660558728e-05,2.4117342741957465e-06,-0.0018985039202869093,-0.013707928183626277,-0.0019782561870110484,0.002783799359591317,-0.0011577831463996007,0.0019340279495794147,0.002374489313643273,0.0022725230243587687,-0.002248978545656648,0.0007114141504036812,0.004186521168667386,0.007620645789896641,7.418332138856662e-05,-2.058344897470848e-05,0.0001651067813613627,-0.00018702487077725254,0.000309061294850125,1.500320381319064e-05,8.262178551361297e-05,0.0052085127836127044,0.003689915584301006,0.0025861452778811445,0.002005295123974885,0.0021679823361627254,0.0003228128186697054,1.4098517756892088e-05,-4.4393691416273194e-05,-0.004873555498175312,0.0006324690751220012,0.0031783292774491666,0.0005025797420340308,-0.00136381894645631,-3.697404591808605e-05,9.155053448417463e-05,0.0037064927816054323,0.0010987516600494281,-6.021843018571834e-05,0.0020104265563924014,0.0005267644505125899,-0.0003684229702255035,0.005184611128315347,0.00018338681888427054,-0.000549695613017713,-0.00026911571086655263,0.000457556951309507,0.0012755845177241602,0.0003128241579048598,0.00169838074171329,0.012716113514304586,0.002075791454607223,0.007975992803194146,0.0024766942439930404,0.0011891451865265088,-0.00021569511224584954,-0.0025268467143961847,1.4325719851242052e-05,0.0008569724803174771,0.0002021022617258813
